Time (s),F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,notes,Var Fp1
32,13117.9,13839.4,15807.4,13574.6,13522.4,17206.6,15875.2,11455.7,35749.4,9793.3,10684.9,13882.3,11089.5,8823.5,10349.5,10886.1,11961,19918.2,26636,,8.805
33,18751.7,130240.5,101253.3,24986.4,32390.5,39356.2,33964.8,15819.5,17673,9642.4,6072.6,20060.9,9895.2,9836.3,11973.8,10531,10982.3,19280.7,15344.9,,14.651
34,6605.7,8203.9,10216.7,9242.1,8214.5,8900.6,8498.6,7301.8,9480.4,15065.3,5007.5,13206.7,8140.1,4283.9,8536.3,12826.5,11521.7,27165.1,8068.5,,1.81
35,19401.6,32447.4,50028,16350.8,17075.5,35226.9,54614.4,9036.3,18871.5,8520,9244.2,13864.2,10681.1,7236.4,7637.8,9556.9,8941.5,13871.9,16548.9,,25.306
36,24806.6,35765.5,67426.7,34924.9,25689.1,59956.1,104845,7165.9,16286.4,8478.6,28993.2,16566.6,18762.7,11865.8,11956.4,65914.2,13142.1,17779,31421.1,,192.863
37,24748.7,37982.1,38479.8,29909.6,28922.5,33795.7,32492,27459.8,30163.2,33491.6,35713,29204,29141.7,23293.1,30209.5,84640.4,33796.3,31522.2,28163.4,,25.704
38,26031.3,12979.8,20948.1,10106.8,11474.4,15029.1,18578.1,16462.7,24174.9,52178.8,62281.2,189257.3,86194.3,11147.5,75436.5,332290.8,283078.8,73302.5,20656.9,,7.109
39,23151.9,27669.6,57516.5,25955.3,35373.8,40959.9,70171.8,21347.8,29285.3,28678.9,20159.1,92101.2,35694.8,9137.6,21353,165564.7,174214.4,20427.8,15819.6,,8.602
40,15640.8,16192.3,23448.4,26549.4,18026.4,15408.2,23032.9,23054.5,26214.7,34109.3,15398.5,32806.5,29134.3,11535.2,17991.7,25700.2,33017.4,25899.7,34795.2,,26.328
41,38913.9,40419.4,59391.3,57437.2,40626.3,47149.7,54932.4,32806,38310.7,51826.2,21513.8,36575.3,48575.2,26763.1,27801.7,26088.7,49491.3,51929.4,47264.1,,24.354
42,17771.9,25790.8,26362.5,25238.5,25139.8,32777.7,34123.1,14266.8,30138.7,56481.8,32588,115417.2,57114.8,11806.1,33957.7,241260.4,196860,30305.7,24985.3,,2.007
43,12572.4,1549142.2,67869.4,50247,24381.7,20746.4,24747,28601.6,26119,27186.3,24332.1,97561.6,50013.7,9350.3,24459.6,155165.3,157390.1,24483.1,15943.1,,234.496
44,180792.4,43451375.3,1112265.8,303179.3,43920.2,72575.8,107238.5,23450.5,26253.4,37226.1,86680.9,43786.7,49441.9,17108.1,29896.7,85211.5,123635.6,45112.3,167723.9,FRUITION-CALC,2735.379
45,175233,318112.6,244715.2,118867.3,124173.9,273918.6,300149.6,53616.6,38251.2,45348.3,46610.8,58513,67256.7,63628.6,64562.9,50845.9,89223.6,43435.8,139900.1,,788.25
46,21258.9,51513,27762.3,17753.2,20006.1,37040,29367.6,16305.5,30797.9,11936.5,23172.4,300508.7,37541.5,4948.8,16585.3,25030.5,12452.7,46014.2,16886.7,,7.932
47,15468,20093.8,16795.6,33249.4,18379.4,16591.4,18371.2,17399.9,22033.3,20774.3,20715,13704.7,14919.1,15764.1,13130.8,31564.4,37367.2,17405.2,27310.3,,29.36
48,19849.9,42073.7,37932.1,19406.4,22870.3,24078.3,21231.5,29824.2,274284.8,16055.3,41687,60018.4,19327.8,19140.6,56104.1,116227.5,39764.1,19085.3,16614,,22.215
49,16611.9,21192.5,23411.8,32697.5,14754.9,15863.9,18029.3,13641.4,14499.4,15354,9105.3,14562.3,12262.5,11076,12642.1,13606.9,14820.4,14048.4,15966.2,,13.505
50,22213.1,13547.9,9913.2,10026.8,10394.3,10768.7,9578.3,10264.5,11877.5,13830.7,14672.4,14378.9,11147.8,10166.6,16400.4,23456.4,17736.7,9331,9275.2,,1.653
51,34404.8,96735.9,91373.7,33746.3,34119.6,61714.4,81225.8,11927.8,17071.5,13217.1,51801.5,81832.7,18071.6,18623.9,49478.6,236132.6,26312.3,19543.7,45282.7,,130.763
52,75728.5,39329.6,67105,48167.8,46467.4,82902.4,73058.1,35516.2,20729,17395.2,44758.1,117129.5,42997.5,20989.3,64478,157529.7,91316.2,23891.6,42527.4,,228.08
53,59508.4,114825.1,22813.5,13767.3,16722.8,22157.7,24490.2,20543.3,24019.3,26381.7,48466.8,107809,43411.5,15274.4,60991.5,220788.2,123689.6,20240.9,17651.4,,60.046
54,53468.6,24267.4,36862.9,29561.5,18953.5,27038.3,28415.1,16673.1,26108.2,17913.5,50411,163397.2,30713.2,10668.4,85061,289339.5,103834.5,20177.6,20453.1,,53.797
