Time (s),F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,notes,Var Fp1
318,42508.9,85683.8,66456.8,43177,51706.1,61771.5,54112.7,21870.2,35550.3,32297.6,42499.2,133138.9,37882.1,16079.4,47000.9,233111.3,151785.5,24326.6,21694.9,,19.682
319,21587.6,29089.9,35138.7,30052.5,27318.6,31223.4,29823.8,31799.4,30933.1,32997.2,48175.4,158881.1,52805.4,22016.3,71815.7,232893.8,153202.2,28001.1,26784,,6.235
320,26000.3,31593.2,47464.4,49494.6,33078.9,46103.9,49848.1,29993.6,42764.6,26877.7,69501.7,105456.3,21049.8,23794.1,67012.1,222432.2,48215.9,41769.8,36927.5,,3.55
321,20856.1,32123.9,29862.9,25801,22959,33572,33153.5,24929.4,44271,44287.4,38318.2,179815.2,80127.6,27045.9,52699.9,144821.5,158274.3,40284.3,29368.7,,1.47
322,12772.3,13714.9,15981.1,14416,18862.5,19078.9,17758.5,30719.9,32028.5,47796.7,74729.5,247189.9,93993.5,27771.7,109369.6,283182.4,249473.5,23439.6,18511.4,,2.372
323,43521.3,83237,76615.9,21624.9,47671.8,76806.2,106066.7,14682.4,18521.7,22358.9,43555.9,136863.5,42747.4,16554.1,60566.4,228393,159795.7,14267.6,29521.1,,38.527
324,36213.2,64757.3,39394.9,37481.2,52117.8,106083.8,166443.4,10399.8,17150.7,24702.2,23706.2,48659.7,25209.9,15802,20725.4,67091.9,31424.3,17496.7,47766.3,,485.343
325,18228.1,116218.4,65525.1,34590.1,20504.3,31945,34442.9,16159.2,34859.9,40792.6,78331.9,80888.9,49387.3,15546.2,51426,182096.7,63038.3,40311.6,41195.2,,10.601
326,13553.3,25609,32535.2,39055.8,27553.6,37864.9,36552.9,16405.9,50948.5,41749.6,66698.8,70266.3,50908.7,17362.9,53107.2,169252.4,95200.6,32124.4,44702.8,,69.876
327,20030.9,24070.8,20420.1,16135,25680.5,28575.1,23953.6,42178.4,40002.8,17942.7,72856.2,146887.5,34500.6,33899.3,102962.6,257953.2,61124.6,22595,21050.2,,25.757
328,8369.8,9785.4,11396.3,12936.9,9545.2,13225.1,14054.5,12950.5,16154.9,6659.1,45269.9,78165.9,13586.2,14608.5,56468.8,165872.2,43419.4,9378.8,8431.7,,14.005
329,20129.9,27431.1,21399.7,16438.2,25163.4,26343.2,23005.5,24533.8,27133.7,19035.3,19616,43892.8,30788.3,17230.3,29479.3,61509.7,53551.8,23139.8,16867.8,,5.882
330,16195.2,25158.8,34063.4,25158.7,23867.5,27926.8,28736.3,22228.3,27408.6,23032.5,47323.7,160633.3,51524.3,18775.9,63693.7,158985.1,126521.4,24518.9,31292.3,,1.86
331,6378.7,6535.6,5485.8,6149.4,6103.3,7150.6,6592.3,11790.3,12920,22796.4,47350.7,176831.7,55204,12323.3,60534.9,213164.5,166197.1,9301.3,8120.4,,0.363
332,11062.1,19729.6,24943.4,21083.9,15403.5,18648.5,26635.6,19231.5,23116.8,43913.7,44947.3,227025.9,100317.3,17278.4,81389.2,206602.6,171978,26628.1,36198.3,,1.696
333,41872.6,28921.4,113469.3,37706,45425.1,92206.3,127846.1,19011.3,18964.2,22925.9,44557.3,181894.3,67827.7,25513,62624.2,218171.6,181723.3,19193.5,61383.9,,632.618
334,39227.9,73173.3,51296.9,42211.5,41577.8,45478.5,47004.7,41151.7,42727.1,36859.8,51549.5,64435.7,37581.2,38337.9,44286.3,75036.4,46303.1,47000.5,49015,,20.306
335,16659.5,24754.9,22533.9,25078,19538.8,25861.9,23094.9,30913.9,39252.1,28204.6,36933.1,160546.5,56591.7,18224.9,74303.6,207222.7,98471.9,29877.2,31740.9,,82.414
336,27895.3,28199.1,32930.3,22634.3,30417.3,31039.4,31696.2,23560.9,26434.7,14417.5,54189.2,153384.2,37400.1,22801.7,71049.3,244708.7,111009.6,18634,16872.3,,39.451
337,21568.7,47239.8,37859.8,33041,29101.6,38876.1,33989,15581.5,25007.4,16357.4,32511.1,115003.1,32006.8,13422.5,46369,149040.9,115150.9,22008.4,22824.9,,10.992
338,9454,12771.6,19874.6,16729.1,14129.8,22112.7,23127.9,17808.1,24526.2,18725.8,53071.8,180792.3,46793.3,17710.3,80414,219115.9,127017,18847.4,14687.8,,6.141
339,8887.6,12632.9,17498.1,15338.1,16122.2,20215,20817,18660.1,27513.1,18261.9,39924.2,74202.7,40241.4,13251.4,44027.9,110463.5,73745.4,23937.2,15841.4,,1.061
340,13719.6,19929.2,20381,18600.3,18031.1,19438.7,23187.4,12904.9,20916.2,16509.3,17164.6,18973.1,18016.8,12657.4,12846.8,19790.7,14335.8,20472.4,19777.2,,3.107
341,17095.9,17630.9,20770.2,20851.5,23012.7,27296.4,26772.5,30835.6,41298.5,52223,56818.7,110986.1,65135.2,25851.1,65492.2,196830.6,153267.5,29964.5,30802.6,,3.846
342,16251.2,24795.6,35621.3,32230.2,18244.3,29102.7,32295.1,11300,12992.9,27327.9,34861.6,114541.9,23315.2,13105,64135.3,198629.1,66405.1,22107.5,36762.3,,5.523
343,18435.5,18091.1,18398,16961,19580.5,20073.6,19190.4,16443.9,24014.6,16916.9,23321.6,41823.4,24513.5,18524.8,20396.4,42284,31039.6,19809,18067.2,,3.436
344,13092.2,14364,20231.6,18044.4,18711,19517.3,19759.9,15424.3,23506.2,17901.8,15394.2,34082.5,19212.1,10876.4,19215.6,29077.1,23135.1,16835.8,11900.9,,1.89
345,9855.4,12497.8,11367.5,8600,9477.5,12683.8,12607.1,8435.7,9994.8,14318.5,31382.5,84848.9,20536,9759,47246.7,169198.5,54746.3,10010.2,11411.7,,0.809
346,9801.4,12205.4,17861.8,17959.9,11989.8,14019.7,13381.4,16587.3,17909.8,32352.7,41366.3,116729.9,41020.6,15587.4,49698.7,164281.6,85516.1,18056.3,20520.2,,1.739
347,10566.8,9038.1,10304.3,10963.1,9585.5,9344.1,9629.4,13193.2,13442,26023.5,34980.4,95273.3,38051.5,12526.7,44750.4,154548.4,77800.4,13177.6,20584.1,,1.471
348,23127.8,21480.2,20983,24881.8,22615.5,22394.4,25012.6,32440.6,37942.1,57801.4,60334.5,172618,80762.2,35088.5,87161.6,252954.3,155129.8,35826.3,43372.6,,1.789
349,48818.7,57797132.5,84985,1461013.1,34426.7,48125.7,51488.5,16112.3,54305.6,26531.6,50408.1,54200.4,18428.7,13232,30572.7,167979.7,46705,42751.8,28412.8,FRUITION-CALC,19318.201
350,27983.3,6067899.8,116615,97390.8,9550.1,15166.4,18647.1,15737.7,13818.4,27260,28500.4,71787.7,41355.6,20558.6,35267.7,96152,55819.1,20240,47424.5,,1225.879
351,78247.9,10497304.9,73881.1,67028.7,41528.9,57320.2,90285.1,24568.7,16767,22857.5,44362,66353.1,36788.3,41093.4,50265.3,134545.4,40918.3,19679.7,43701.4,,2302.606
352,188031.3,33554646.9,191765,129967.7,40776.3,31404.3,62058.9,67415.1,99237.9,34093.4,231918.6,169677.3,114894.2,35703.8,91648.5,294677,140875.2,65918.7,140899.5,,12386.202
353,12397.4,95755.5,24149.2,25885.1,20799.9,22208.4,20539.1,15626.1,23274.3,14741.2,12049.4,21529.8,16708.8,10956.4,14825,12523,16081.5,24502.8,19485.8,,88.371
354,29767.9,30495,24777,56005.4,17865,17034.9,22161.8,20423.2,14997.4,23316.4,21673.5,22630,19335.2,16518,20589.9,45483.2,23198.1,18906.3,33190.6,,11.39
355,7604.9,18402.8,10326.7,23083.5,11166.6,13290.3,13131.1,12099.1,13574.7,24934.6,29892.1,26692.1,19074.7,7055.4,15261.9,86564.8,54109,12834.6,17465.8,,32.005
356,7865.6,17718.5,9350.9,13018,10516,10782.6,11830.2,11948.4,11595.7,11778.5,9732.7,42132.3,22819.7,7482.3,11240.1,32390.6,46054.7,11982.5,8618.4,,6.397
357,11281.1,22854.6,23293.1,11116.8,18015.5,20611.3,19669.2,10117.2,15143.4,15650.9,30788.5,62178.1,21591.9,7367.7,23672,133718.3,148764.8,9486.9,7790.4,,0.518
358,25569.9,29488.5,33248.5,26921.6,30815.9,35734.3,35639.4,33485.7,37931,31811.8,33347.3,191508.3,63153.8,26271.1,55455,161164.9,142203.3,33381.2,23556.8,,0.931
359,12509.5,20872.2,21457.4,20266.5,17887.6,19670.7,20807.7,17057.9,19451.8,33072.4,29997,82378.8,38607,12589.1,34782.8,139853.3,152705.8,17574.7,22547.4,,0.896
360,6899,22408.6,26431.2,18128,12728.5,23446.5,24161.2,7590.8,15143.6,7973.1,27087.5,48668.8,13884,4582.5,33459.5,138111.9,47110.8,17607.6,14304.7,,3.229
361,9281.1,10616.1,10548,10028,10436.6,8738.5,10358.4,14484.4,19375,14595.5,27706.2,78987.1,19571.6,11204.5,46481.4,130378.3,31488.1,13443.8,17061,,0.896
362,8766,11717.1,17212.8,14711.6,11954.8,16623.6,21501,10139.7,22717.8,18277.8,9505.5,58519.8,29214.5,7955.6,14238.8,25472.9,31565.6,19395.3,21352.5,,1.092
363,11954.8,16420.4,31019.7,18234.6,17209,26404,26916.5,12092.1,16077.6,28015.1,22241.5,84687.9,28801.4,8286.1,41191.5,139005.6,71035.5,16268.5,24500.7,,187.355
364,11743.3,16693.3,16515.1,15862.5,20281.6,29881.4,36447.4,17295.6,18571.1,20428.9,38449.7,58319.3,27516.2,15810.2,46623.5,140365.8,55769.4,15907.8,21036.6,,6.296
365,20416.3,27106.3,32208.9,32776.9,23184.2,26299.7,30182.7,29550.7,29089.1,31763.9,58305.6,198059.8,73378.2,34053.9,74535.3,182250,113368.7,27750,31659.1,,1.493
366,16372.8,30392,33634.2,25336.8,27299.7,37001.2,34756.5,13254.5,28707.2,23324.8,24650.9,57590,24206.6,9715.4,26775.5,110584.6,121217.7,20201.3,23894.8,,3.735
367,24364.6,24814.3,30815.4,30248.1,32239.9,36313.2,34464.2,33922.2,38294.3,44786,88899.2,142268.7,64958.3,39577.7,97698.8,186617.1,96322.3,35635,33855.9,,12.306
368,8062.3,13260.9,12895.6,13406.2,12507.3,15382.8,15858.8,18267.4,26436.9,28510.7,29738.1,101927.9,54426.9,12334,40538,123726.1,92945.3,24145.9,21012.7,,29.672
369,21692.3,36082.1,28412.2,25599.8,23098.5,34727.2,22470.1,16424.4,23244.8,24620.3,8185.8,31852.7,24390.9,11228.5,16186.4,36661.3,19049.2,25628.1,31224.7,,32.742
370,15744.9,18535.5,16915.5,18155.8,10136.8,15074,16397.8,11077.8,11806.6,17686.8,11293.2,10058.6,15877.4,11111.9,12185,11931.8,15774.5,17557.3,17771.5,,2.407
371,8262.2,11580.8,17518.3,16643.4,9081.8,11715.3,13871.2,6306,7822.6,10306.8,3514.4,7125,8014.7,7446,5734.1,8768.7,7182,10511.6,16347.1,,5.65
372,14175.2,20582.1,25073.3,19167.9,17553.6,22872.2,23168.7,14810,16424.1,29776.3,18818.1,61505,29036,11535,30278.4,93672.8,71977.1,17264.3,27572.9,,1.366
373,9895.9,13247.1,13490.7,15364.8,9434,12304.2,14566.2,10574.7,15547.3,18514,16159.2,67302.4,18467.4,9756.8,28847.1,106682,33051.1,14943.9,17797.5,,0.495
374,45319.7,54437.5,67165.9,57273.2,55822.7,67078.9,63629.4,67522.6,74255.6,41641.8,53949,94092.6,62315.9,54808.8,73140.2,86804.2,63618.6,57622.7,45008.3,,22.934
375,7702,13616.5,8478.4,10028.4,9777.7,10572.7,11873.3,9137.4,14308.5,5534.4,8744.3,24277.1,12831,6554.6,13113.9,19578.1,7248.1,11371.8,11940.6,,2.617
376,14927.9,15227.2,29095.3,23594.6,21144.5,30471.8,30869.9,19368,26455.8,24818.8,44913.9,93037.7,36089.9,15682.2,43609.6,147638.8,97344.9,25009.6,23316.2,,5.866
377,15818.5,20433.9,25786.6,20667,17902.3,25399.7,26073.3,23591.2,26145.7,17674.6,53220.9,172701.7,43906.6,25600,77864.6,165805,96632.6,20915.3,15764.8,,20.388
378,13489.7,22441.3,19380.8,11795.9,17471,24407,24664.3,12812.7,20911,11191.6,8591.4,20120.5,13629.6,8829.1,12723.9,17532.1,12398.2,14706.9,15865.8,,2.248
379,8238.5,12052,15313.3,21438.4,12489.8,18396,20200.5,8564.5,19855.5,17810.1,10655.1,15613.6,20591.1,10665.2,9503,10867.6,17537.8,19690.7,30913.8,,2.19
380,7646.3,12804.8,15290,17079.5,11123.4,17603.4,17150.3,11158.8,15643.4,16410.1,7342,17191.6,17826.5,6796.1,8422.9,11350.6,11658.2,19006.3,19048.6,,1.176
381,14955.7,27812.6,27493,18462.4,18651.1,23456.4,30789.2,13179.1,19788,29472.3,25467,63886.8,28206.3,11433.2,23282.5,131656.9,76625.1,20433.5,31040.1,,2.453
382,13986.3,19422.6,28320.4,18657.4,22175.7,25205.1,36135.3,13623,19767.3,14027.6,19369.3,40614.2,13886.4,11542,19046.1,80314.3,12373,16011,20499.1,,14.201
383,24496.8,39361.4,31207.3,25366.6,28149.7,30630.6,32381.9,21188.5,26858,30831.4,20796.5,37086.1,29139.4,21849,19913.2,30732.5,33791.3,28062.6,27624.3,,2.219
384,15540.1,14553.4,15733.6,15684.3,15530.8,14597.4,17452.2,18303.1,17378,17678,31608.1,37390.7,20030.6,20713.1,25869.3,38411.4,21207.2,15102.5,17374.9,,3.737
385,12095.2,13470.4,13941.8,21693,12272.1,15168.2,14052.6,16020,18313.4,23303.2,12807.5,19060.8,18180.1,13544.1,16822.7,20034.7,19150.9,19690,28126.1,,4.527
386,8634.3,7271.1,9943,11301.1,11244.6,11265.8,10192.9,11615.3,14184,15509.6,8911.6,24234.7,16341.5,6991.8,12180.4,23706.1,27538.3,13106.2,12932.8,,4.604
387,12060.5,15060.8,19187.5,15675.4,15275.5,20321,19650.5,12340.3,18770.5,16598.9,32276.3,66723.1,19678.4,11975.2,26513.7,104215,47301.3,16328.8,12348.7,,0.913
388,28526.3,30199.3,24601.4,24952.8,29904.6,28795.6,27658.2,25747.4,31729.3,21319.1,24707.6,25830.6,22198.6,25992.6,23225.6,29595.6,34682.5,24410.2,30548.8,,1.378
389,8875.4,12653.2,16965.4,19110,14940.9,17342.8,18368.6,16590.9,27561.9,21583.4,9381.1,65698.5,35452.1,7013.1,18576.8,28115.4,27089,27323.7,21885.2,,0.788
390,23718,34062.8,29767.8,31458.1,35438.2,40662.7,39449.9,35996.9,43318.5,31058.1,27109.9,54480.9,40740.7,28005.7,36280.6,42250.3,37056.9,36497.8,34930.9,,0.816
391,17264.1,17659.9,19454.8,25335.2,21636.6,23941,34628.3,4942.7,8925.8,16418.6,5635.1,7705.8,16695.7,5930.9,4721.7,3808.5,11553.1,17485.6,23892.1,,185.549
392,16444.3,27205.4,31642.2,24425.2,18663.2,22306.4,26299.5,20095.9,20204.6,20578.6,17407.3,21195.4,21038.2,14686.7,18225.6,19439.9,19840.3,25153,24185,,3.329
393,11594.5,14140.1,13829.9,13204.9,11479,12478.7,13490.8,8203.7,11888,12777.7,15048.5,20021.6,13057.7,8123,14958.7,54375.3,12926.2,13852.9,16091.8,,16.948
394,5328.2,5171.1,6118.5,5950.8,7273.8,5986.4,6857.5,6888.7,8101.5,7783.9,11097.2,26382.3,10259.2,7403,15426.3,32822.3,12224.2,7793.9,6485.5,,17.095
395,7272.5,12656.7,12293.8,11836.5,9551.9,11187,12267.3,8900.3,11274.2,9900.6,10711,11611,10004.7,8335.1,10184.7,12794.2,11371.6,10924.3,11215.4,,3.813
396,8818.2,11555.8,13331.1,15055.9,13564.4,16338.6,15564.7,11218.5,11470.5,14342.6,7286.5,18172.4,15595.3,5649.9,9686.3,39193.1,23771.5,12874,15911,,1.891
397,5276.7,8116.4,8275.4,6591,6335,7064.1,7519.2,5795.3,8733.3,6604.2,7927.1,10747.3,7122.9,6159,7243.5,15786.3,8761,6426.1,7291.8,,0.694
398,12709.2,25421.6,30698.8,10050.3,11516.4,20859.8,57808.5,6776.6,5968.7,11160.4,10946.1,5880.6,5296.3,12772.6,8616.1,9641,8389.3,4669,21521.8,,165.133
399,14068.9,36291.9,34051.9,26086,18998,23724.3,33530.9,15542.5,28008.4,44446.9,22877.2,43294.2,46461.9,15015.2,24287.5,62699.5,60655,26995.4,41644.9,,18.225
400,17227.4,24623.7,23547,26322.1,17101.7,23064.3,24008.4,13754.1,18886.7,29387.8,12276.3,20309.9,24389.3,12821.4,14025.2,13297.7,28459.3,23375.8,49066.2,,9.998
401,11358,13524.9,13575.6,15231.2,12155.7,13934.5,14360.7,10126.3,12430.2,17898.7,22486.6,15513.7,15044,12021.4,12778.6,22338.7,20803.2,13904.3,17980.6,,1.649
402,6848.1,9948.6,9826.7,7579.6,6689.2,7087.4,8252.6,6252.3,6397,11190.8,17891.6,11291.6,9616.6,13700.8,10816.5,19086.3,12270.5,7553.3,13703.7,,17.175
403,9457.3,14043.4,18546.1,18790.3,15376.6,18064.6,19719.2,12516.1,19863.2,19173.7,10793.6,18033.6,15449.1,8690.9,13073.8,24796.6,17792.5,17619.8,19955.2,,8.797
404,7820,11639.9,21144.2,17729.2,13259.7,19870,21477.6,10032,17900.6,14983.2,30506.1,29619.6,13909.4,8020.9,20797.5,94751.1,49837.9,16470.5,21211.5,,3.824
405,5663.6,6584.7,9396,9771.8,6366.2,8627.8,9052.9,6912.1,11036.4,6421.2,16136.2,81977.5,14372.5,7143,23722.6,84892.3,38238.1,7971.7,7026.5,,1.055
406,4961.2,9063.6,6220,7009.1,5925.4,7293,8598.5,7580.1,11623.6,22744.9,19569.9,96364.6,35508.7,7999.9,25909.5,119515.4,93901.3,10825.8,14577.6,,1.141
407,22607.8,30244,24672.1,21322.8,29702.5,32007.8,28224.4,24919.3,39334.8,19362.6,18492.6,125836.7,46381.8,15785.6,36729.1,104433.6,54122.4,29493.7,24080.1,,1.335
408,16461.2,27608.7,24129.6,16700.1,20413.3,23953.3,35752.2,9139.6,12782.2,13372.2,9314.7,11828.1,13684.1,10917.5,11132.5,11889.9,15480.2,10546.5,23582.5,,65.228
409,16044.8,76846.5,41503.7,18441.9,24629.2,29893.3,32575.6,19042.4,26194.1,14742.4,7012.1,24128.5,21360.6,12005.7,14681.1,11301.2,11277.6,19883,32048.2,,54.735
410,10240.4,12828.9,15077.7,12665.5,12262.7,18256.7,14345.4,7561.9,12151.7,16595.5,4431.7,15462.3,16409.6,5088.9,7623.6,13767.6,21875.6,14943.3,13257.6,,43.471
411,13013.9,15042.5,14754.2,12581.1,18608.1,20805.3,18626.5,14565.1,19261,16693,12767.7,14719.7,14299.6,10451,13694.1,19855,14036.3,15545.2,14605.2,,19.437
412,10951.4,17459.2,13043.3,11006.1,16318.9,18625.5,15192.9,12028.8,14907.5,7674.9,6556.5,12881.9,10117.6,7543.9,10466.3,15163.5,9740.8,13642.5,14671.1,,4.218
413,8759.1,11549,17253.6,16052.3,13144.5,17304.5,18636.5,12852.1,19683.4,18576.6,14988.2,25400.7,22570.2,13868.6,16173.8,22778.6,24104.2,17975.2,18697.8,,0.931
414,19456,21264.8,24823.8,21570.6,24455.9,26808.8,27126.9,24790.6,32852.9,18161,15015.8,32188.8,24508.2,18579.7,25602.5,26044,18684.3,27204.3,23049,,0.946
415,13163.8,15540.5,21172.6,22532.9,17195.3,21273.2,22506.9,14902.1,21688.7,28823.9,7578.7,23269.9,23633.3,8564.8,11529,12832.5,25332.9,20674.9,30734.8,,0.458
416,11266.3,12230.6,13553.3,11828.2,13347.9,11855.9,11526.7,10121.9,10602.9,8935,9208.5,6670.3,7920.4,9459,8031.9,8886.4,7821,7720.1,9383.5,,0.993
417,10006.9,11213.3,7552.1,7505.2,9559.9,8378.8,8544.7,9986.5,10939.1,10017,11897.2,10815.8,10581.1,13158.8,10183.2,10989.6,9711.7,9484.2,11131.5,,0.497
418,18132.8,15569.2,17701.5,16746.3,18695.1,18204.5,17939.7,19544.7,17253.5,19068.6,21037.3,15704.7,16204.9,18947.4,19059,24420.6,18601.9,15353.1,16857.1,,1.065
419,6677.9,12523.9,9963.9,11450.8,9526.4,10039.8,10710.9,12150.8,15868.2,11519.9,8537,11681.5,12575.5,11839.2,10840.3,7437.7,8487.4,12036.6,18528.9,,1.091
420,19670.2,19790.6,15387.1,16661.4,20370,20076.8,18784.3,17278,15819.8,21781.4,20028.8,17644.3,17699.1,19770.2,17180.3,20156.8,23626.8,16513.3,22770.6,,45.552
421,5790,30809.9,8365.5,6504.3,8008.8,8824.5,8996.3,6615.6,6438.9,4599.4,6692.4,7532.1,4790.1,6561.1,5752.9,10390.8,6586,4945.9,8761.4,,23.982
422,15137.2,19434.8,16565.6,15367.6,17126.1,15922,16698.3,19972.2,21289.8,16381.4,20656.1,23266.4,19237.6,21137.1,22922.1,27041.4,18080.3,18945.8,15770.6,,9.689
423,9227.1,15292.3,10751.4,11595.1,10750,10215.8,10525.3,8268.2,10850.9,10992.7,9173.4,24683.9,11927.2,8698,10792.5,18320.2,11561.4,10745.3,16210.2,,8.49
424,31270.4,37996.9,28571.9,25323.9,33567.1,30205.2,32699.4,31901.8,27479.3,21218.6,26613.8,20525,19140,29015.3,26295.4,22903.4,23784.7,24522.8,19578,,2.088
425,9538.5,13677.6,10885.2,9938.1,11215.5,11930.4,12705.8,10073.5,14912.2,9400.9,5354.6,17527.7,14394.8,6653.6,8947.2,17644.5,18505.6,12826,14260.3,,6.214
426,15882.4,17130.5,16825.1,16951.6,17037,18963.4,19565.2,14279.5,19164.5,17647.2,11143.7,17472.7,15873.7,11076,15251.8,14492.8,20754.5,14120.6,20708,,1.557
427,11910.1,16155.3,20328.2,21652.4,14275.3,18364.4,20319.6,10714.1,11684.5,15912.8,11797.7,14478.9,16255.5,12091.8,14497.4,12732.4,15641.4,15423.7,18824.4,,0.832
428,32869.6,30872.6,27802,33245.4,29601.5,27064.6,30073.2,38404.9,33368.4,40579.4,36301.6,35938.2,34361.5,40458.3,38328.3,30528.8,35271.1,33497.9,43626.5,,0.604
429,14442.8,20782.1,15970.1,16598.9,17486.9,16199.4,17979.3,16116.6,18855.7,11776.2,16154.5,21049.6,17244.1,15113.8,15829.6,21449.1,14341.6,17361,13009.9,,0.657
430,18082,25558.2,28762.1,24442.6,25332.4,28418.7,26036.6,18713.5,26468.9,23504.3,16298.6,23641.7,24740.4,13745.1,16954.8,35291,37896.5,24403.9,24339.1,,0.798
431,9485.6,8490.3,9304.8,14029.4,7930.6,9203.4,9724,7613.8,11645.1,17253.2,9468,11041.3,13315.7,9090.5,7739.7,11356.4,13005.9,11194.6,18738.3,,1.288
432,5728.3,8741.1,11383,10613.3,6946.7,9201.8,10594.4,7492.1,9978.2,9501.2,6994.1,6917.4,8839.7,7190.4,6106.2,10074.1,9512.4,9661.8,14089.4,,0.564
433,11342.3,9659.7,11439.7,12342.3,9330.1,10213.9,18064.4,9211.7,11744.7,7806.7,7565.7,11480.3,11049.6,8618.1,9108.1,9710.3,10299.6,9983.1,16268.2,,3.901
434,19452.6,17003.3,25820.3,30114.8,19463.2,19714.6,31944.5,16343.1,19726.5,20599.4,7440.6,18225.6,14937.6,14770.3,13009.9,11904,18457.2,19520.2,26531.4,,8.889
435,10016.9,11679.9,11872.5,14731.3,12519.7,15049.2,13310.9,13890.6,18628.6,17742.1,16429.8,17448.6,18969.5,15024.5,15888.6,15105.5,17731.8,15727.4,23484.9,,1.389
436,12056.6,17937.1,15287.9,14409.5,14523.7,16080.8,15120.7,14144.4,15881.3,14484.7,15032.4,14738.7,13590.1,19848.3,13679.1,13776.7,13244.8,14531.1,21467.3,,3.154
437,8866,8341,9874.9,9099.9,10583.9,12793.6,12936.7,10008.9,13076.5,5963.4,7483,7384.5,7435.2,8683.5,7734.9,4625.6,5173,9385.3,9734.5,,0.768
438,7902.8,11308,10113.3,10194.9,8020.4,9398.6,10026.7,11135.8,10519,12085.9,16275.6,13194,10651.4,11959.2,13665.5,14615.8,13094.8,10062.1,10413.2,,0.486
439,6834.1,5069.8,4684.3,4875.2,4656.3,5268.5,5299.2,5557.9,5848.6,8384.6,5662.1,7859.4,5297,5531.2,6462.2,5696.7,6559.4,4503.2,10449.4,,0.472
440,30084.2,25965.7,33388.6,30809.9,31055.5,30399.5,32247,27595,30040.9,35119.9,27001.8,28472.8,32026.9,25578.9,25970.5,29035.9,37568.9,32548.5,37646.3,,0.664
441,7602.5,8936.8,11838.3,9160.8,9192.8,11410.4,11692.1,7276.4,13126.5,7899.3,10095.2,13477.9,11430.6,6247.7,7544.9,7469.6,10771.7,9874.5,6944.3,,1.609
442,15595.2,17570.3,25565.3,22305,21245.7,23710.8,25747.6,20012.7,22985.3,17754.8,20740.3,21828.8,19323.5,17091.7,22822.6,24165.3,21240.8,18585.7,19138.4,,22.579
443,6813.9,8532.4,20983.1,19087.2,10861.5,16920.9,21728.4,9752.3,16525.7,15901.5,12619.1,12957,15818.4,9161.8,10562.5,13363.2,15967.3,18380.8,18846.2,,0.978
444,5460.5,9679.8,7741,10492.7,7246.6,7833.1,7940.1,5579.2,6959.2,9462.1,7118.8,6447.9,8409,5844.4,5942.3,5414,6663.3,9211.4,15211.3,,2.112
445,6257.5,9113.3,11842.6,12731.2,9926.9,12591,13956,9233.3,13364.4,14755.6,15371.3,20669.4,16650.5,9389.9,12900,26478.2,18351.9,13912.1,19046.1,,0.712
446,17919.7,20857,18199.3,14597.3,17662.1,24308,19938.8,19058.4,26272.6,7362.8,17258.5,19372.6,14829.9,16981.5,16693.2,24423.6,10200.3,19097.1,10381.7,,0.431
447,13193.9,12187.2,13305.7,10969.5,15074.3,15058.1,14856.4,13783.8,15881.9,17731,14358.9,17724.7,16210.2,12925.1,13716,22191.5,33787.5,14907.3,17071.1,,1.046
448,11203.9,25388,49373.4,23750.7,19534.4,27318.6,53382.8,13387.2,26297.8,15226.4,13039.4,38994.1,20195.4,11977.7,14594.1,32761.4,18455.6,23262.7,27769.1,,4.278
449,20525.1,53123.8,38160.5,25648.9,27160,24824,49390.8,16285.6,19711.7,18645.7,16192.6,53426.6,41484.4,15412.4,19076.1,46618.1,38914.1,21267,39372.3,,132.181
450,28376.3,37342.5,40075.8,34255.4,34481.9,43383.5,36944.1,56454.5,31275.8,35903.1,26579.5,39455,29009.4,29406.1,26444.5,31466.1,41172.2,20300.7,30866.5,,31.402
451,21224.2,39405.7,56700.5,25509.8,32621.5,48328.4,50705.7,17976.9,25059.2,26727.1,26015.6,95221.6,37386.9,26872.3,27608.8,61903.7,81070.2,25571.3,44168.4,,39.431
452,26484.2,29208.2,38372.3,34778.9,30678.7,26184.7,29753.6,27423.8,33228.9,42604,28562,70365.9,43993.2,23277.2,22360.9,49703.2,70690.2,29195.8,49159.9,,5.977
453,13038,19398.6,14639.5,14055.3,13257.6,11520.9,14766.4,11967.9,20429.7,19670.9,19212.2,19675,13763.5,17311.4,16373.9,12789.3,17775.3,18120,19653.9,,27.332
454,10229.4,21572.3,12335.8,10172,12797.5,11603.9,12735.7,11474.9,11695.3,13305.9,11017.4,17667,10715.3,7593.6,9909.4,10321.5,19907.3,11413.4,11495.5,,20.139
455,18688.2,18810.5,16141.4,14662.6,17329.3,17700,16619.9,18056.9,19619.2,21087.7,20681.8,25778.8,22070.1,17637.2,18766.1,21794.7,30888.8,16641,19903.1,,7.374
456,42101.9,90336,120187.3,28528.8,61589.8,80959.6,95228.5,19339.2,13290.3,13719.1,21502.5,73915.1,27827.7,46507.9,18438.5,64900.2,55640.7,13826.5,58207.4,,165.988
457,27218.4,97630.2,99528.6,30713.7,38419.8,48008.6,83492.9,14337.5,26577.6,20185.4,31411.3,46406.2,24409.3,26904.6,17342.1,23894.7,24468.9,28948.2,64054.5,,47.01
458,7189.7,61163,15962.3,12742.5,19313.3,18461,18797.4,19757.6,21811.2,11666.8,6024,8950.1,25126.5,25310.9,16375.1,6283.2,10683.1,13405.5,12840,,8.399
