Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,3.263,15012.6,17850.0,24776.8,26378.4,15496.8,17879.4,20083.4,14143.3,21316.2,26209.9,19881.0,21038.6,20512.6,9252.1,11432.2,13496.2,19673.8,20544.5,27670.6,0.0,7736824.8,
2,3.154,12348.2,26539.7,34913.9,29195.0,25081.9,21568.4,23364.5,14847.8,18769.4,29740.5,14208.5,16977.0,24630.3,12466.8,13281.5,22381.3,26172.2,22288.8,30059.1,0.0,259488.4,
3,2.688,18299.9,16792.9,16624.9,13666.4,14767.8,17077.6,15634.9,20318.8,25310.5,21486.9,22318.8,35147.3,23861.4,18176.1,23024.0,32241.7,29179.7,17798.3,18573.3,0.0,203950.6,
4,2.851,13885.8,15245.4,13450.5,13956.9,16578.3,14616.3,15282.1,10494.4,13915.7,23210.4,7788.9,16628.9,18654.2,9381.6,8444.4,7760.3,20973.9,15060.8,20516.0,0.0,379538.9,
5,2.71,19394.4,23434.9,24583.4,30136.5,23459.2,24170.3,28632.3,19478.3,28195.5,28199.4,17204.2,32265.6,31305.3,17138.0,19795.9,26132.6,40515.6,28247.7,28744.6,0.0,1124536.2,
6,5.126,45907.1,62447.4,76424.9,75108.6,55790.4,59066.4,62275.1,46629.5,61869.3,70454.2,33163.4,60536.7,62366.1,36988.6,43051.4,46657.1,59381.3,68547.4,78861.0,0.0,44386147.9,
7,3.878,36051.5,45729.2,49719.9,58312.3,39903.8,41977.3,46356.2,36989.6,39068.9,53361.4,31532.7,33080.0,45240.9,22031.8,27666.0,28367.1,39465.1,66416.6,52905.5,0.0,458058504.9,
8,6.176,24283.2,63747.6,94889.6,106503.3,28547.7,43961.5,61145.0,39908.3,45370.4,67578.0,5667.3,46643.8,59868.1,12445.2,23315.4,20150.6,54132.8,82134.7,65072.5,0.0,2858754085.3,
9,0.937,38177.9,33814.2,50298.2,59069.6,22875.8,97888.7,32250.4,18045.6,72310.4,17350.7,17306.0,23572.1,23433.0,14657.7,17033.2,25691.3,23395.6,26873.0,21010.1,0.0,3406014721.3,
10,26.125,358963.9,1114258.3,814252.1,557563.6,331363.3,345561.6,337719.3,306086.5,445863.3,429569.8,247703.7,412677.4,398653.0,183764.8,249495.4,312603846.6,445339.5,468865.9,321728.9,0.0,50311665622.3,
11,3.132,71915.2,139893.2,119241.4,137977.4,107267.6,108705.7,112713.7,64244.3,102848.8,124791.0,35556.7,88979.3,164345.4,32728.5,59584.3,662354.4,105695.6,186754.6,117886.4,0.0,948167356.7,
12,1.858,13342.4,16133.2,19739.8,44933.4,13224.5,20554.5,22171.3,21216.8,23946.9,14033.8,19435.7,25198.8,18607.2,14303.8,21591.3,27782.0,28683.4,16811.0,14456.9,0.0,13269584204.1,
13,5.709,18893.1,161554.1,136861.3,344145.8,22647.9,26395.4,27715.0,21581.1,10311.4,14062.9,10456.3,8262.2,10988.0,9434.1,10365.7,18783.1,17821.6,21644.3,13749.0,0.0,12327958317.3,
