Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,0.342,10079.3,13686.0,18312.8,19111.9,13284.6,14665.0,15534.2,12454.9,15703.4,16584.2,13225.1,19029.5,18824.5,8860.8,12915.9,15538.4,16184.5,18510.6,18563.3,0.0,176930564.7,
2,0.541,5342.3,9961.4,12827.6,15716.2,7336.4,9446.0,11464.2,5434.1,9190.1,13912.6,7057.9,10890.1,11438.6,4583.2,6886.4,9381.4,11875.9,9961.5,10989.4,0.0,140394355.9,
3,0.263,5359.8,7439.1,10193.3,11617.5,8544.9,10743.0,11027.8,7744.0,14120.1,20918.5,13061.3,13989.7,13543.7,6430.9,10428.9,16410.5,21980.9,12891.9,23889.8,0.0,122330001.0,
4,0.259,16805.1,17215.5,18752.9,21092.7,18290.9,18741.6,19700.7,15263.4,16805.7,24745.8,11212.3,10363.2,13557.7,14132.6,12310.8,8120.3,12169.4,16409.0,32353.6,0.0,119037940.7,
5,0.588,25999.3,29763.6,22889.7,22088.9,28316.1,25893.5,23907.6,25491.0,27148.8,31380.3,24152.1,32526.8,27099.0,24120.6,25886.2,30706.3,35328.0,26137.2,30578.2,0.0,141368956.0,
6,0.517,11914.3,18639.8,18546.5,15320.7,17794.6,18535.1,21559.8,13087.7,21608.5,22824.0,8447.6,21203.9,22704.2,6985.7,12746.9,13125.9,26567.0,20685.7,26296.9,0.0,746423745.8,
7,4.655,12492.8,118692.1,102926.4,23295.9,19339.0,21402.7,22274.0,8661.0,12303.7,16244.2,10279.2,15043.6,13186.5,9023.7,7641.5,10759.3,16972.3,9371.1,13191.2,0.0,2501966331.4,
8,7.609,29709.9,84975.9,137882.3,82063.8,50694.8,66189.4,85974.0,35890.2,48590.3,33996.8,27875.3,41033.2,46003.3,37851.8,33508.6,33399.8,37033.1,83004.1,54368.5,0.0,6958816658.8,
9,0.979,6878.7,12961.7,20420.3,28978.1,19977.6,12997.8,20037.2,17494.8,13729.6,18208.1,13327.1,12117.4,12492.2,8427.6,12259.4,20172.7,15431.5,29014.3,15390.4,0.0,23014104752.1,
10,4.41,35805.9,39785.1,69208.2,80800.9,45289.3,48009.3,55806.1,44331.1,48697.7,60588.3,41469.1,58884.9,57273.3,40046.1,48391.4,52022.3,58090.9,42343.4,58102.0,0.0,123701719857.1,
