Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,2.677,10198.1,17973.0,29578.8,24359.1,24945.4,20767.0,23531.2,269598.5,20770.0,16729.3,13976.2,23577.0,21479.1,7032.4,106884.8,20995.9,27362.0,19136.8,14198.3,0.0,109330857.0,
2,1.622,12968.8,16171.0,17769.0,15418.3,23686.4,17692.0,16834.7,276752.3,19789.4,20458.8,15441.9,22277.3,15885.0,10470.4,162138.7,26550.0,22706.8,19407.7,18055.8,0.0,111727821.2,
3,2.349,15633.4,18638.9,23436.5,18645.8,20972.1,23853.8,22338.9,11481.9,24546.5,13623.0,18434.7,24746.5,18165.3,17254.7,118434.3,19884.5,26507.9,18643.9,16148.4,0.0,115576382.5,
4,2.28,6700.0,7590.1,11848.4,8611.3,6596.1,10763.7,10873.3,6993.0,9991.3,13230.3,8953.8,10970.0,9583.8,4331.2,114272.9,17190.3,13234.3,12347.2,13772.0,0.0,108218601.2,
5,1.988,16306.3,18768.6,22954.4,25719.4,19965.8,28134.4,26296.2,21957.1,25433.7,33304.5,12750.4,29946.7,32132.5,14825.3,104201.0,29042.2,37701.6,26034.6,29816.3,0.0,125698321.6,
6,2.087,10803.4,13245.4,12832.5,13923.4,12552.2,10815.9,11105.9,40396.1,13515.2,16885.4,11961.5,14316.0,10014.7,8904.1,61777.7,32867.2,25872.7,11508.4,17084.6,0.0,188272789.5,
7,3.537,30585.1,29416.9,29384.3,81040.8,51580.6,35185.3,37635.4,3304833.6,35786.2,58212.9,46150.2,36380.3,41745.9,30547.3,125960.1,45842.8,52253.6,33183.5,53153.3,0.0,17034102162.5,
8,21.602,226778.4,295392.2,279345.7,305635.9,253282.7,220463.5,221070.3,307152.7,191966.7,247703.6,158481.8,212303.4,203264.4,184905.6,242930.3,169767.7,233067.1,211135.4,213363.0,0.0,1912289752.7,
9,4.886,12108.1,59814.8,155899.2,150019.6,41238.6,34534.1,41602.4,338102.9,15555.3,19913.5,22087.5,20426.1,13626.0,6678.4,62733.8,27471.4,23780.2,17487.5,20130.3,0.0,9966484670.4,
10,1.062,17134.1,20560.8,25347.5,25314.0,57353.3,19651.5,21173.2,123663.5,22488.2,17251.3,58206.5,15802.5,20300.0,23045.0,92839.4,13217.3,22970.9,19963.9,24710.9,0.0,12629259293.2,
11,1.892,26440.5,25913.5,31129.3,28640.0,57511.3,32933.8,32739.7,53051.9,35779.1,26649.2,32500.2,39702.2,29698.5,51700.5,94017.5,38190.9,34527.6,26370.2,21707.1,0.0,1279334721.5,
12,0.723,25222.0,25220.6,24748.3,26870.6,23830.4,22473.2,21300.2,14923.8,19322.4,18468.6,10346.3,10216.7,17367.7,12685.0,141029.6,7300.7,18637.6,18390.5,24545.9,0.0,124500764.0,
13,0.743,48104.7,59945.9,70299.0,111060.8,83574.7,67885.3,74335.5,999346.9,72540.3,97006.5,35635.2,94997.8,91319.0,36044.1,101311.8,86708.2,111501.8,78114.4,118540.6,0.0,1708846529.1,
14,0.603,13368.5,18436.3,24220.0,218540.6,20321.9,22279.5,25600.7,167583.8,22804.1,25510.0,15411.5,29891.0,22132.6,14438.2,72217.4,28103.3,18833.0,28679.7,28864.4,0.0,20012.9,
15,1.745,21357.8,25983.7,25387.3,137045.0,28603.0,29450.5,28106.5,179016.4,27070.9,19937.8,9296.5,31750.7,32133.7,20903.7,28283.3,18059.8,23621.5,32694.5,18125.6,0.0,19050.3,
