Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,0.603,13961.3,19433.6,24952.4,23300.5,20480.8,21758.6,21647.2,18428.9,24628.4,13417.6,11132.2,23035,20234.6,10795.5,21560.7,18520.4,18716.5,20181,19979.8,0,31764534.9,
2,1.348,11246.2,14215.8,17688.7,19670,16857.3,17142.1,20073.1,11984.3,19034.8,17564.6,10331.8,15074,15050.3,9609.8,29821.5,21735.1,14810.5,19450.3,21928,0,24336058.2,
3,0.521,13010.3,14418.4,13990.9,13557.6,16866.9,15844.8,13445,12780,13329,17595.1,15086,12420.5,12535.5,12013,38820.2,19430.2,13632.2,14228.2,16890.7,0,41988440.1,
4,0.428,11572.7,13576.6,18107.3,22144.4,15087.5,17336.1,20023.6,10733.9,18598.3,35096.9,5315.2,20437,25873,8219.8,19184.8,15532.1,35084.2,22369,37554.3,0,28977305.1,
5,0.582,15318.9,24656.2,26452.8,23028.4,20117.4,23816.6,24116.9,13427.3,18265.5,25126.7,15712,21175,20243.3,12173.4,33852.8,27869.4,19660,20482.3,20262.4,0,65707325.6,
6,2.466,23752.2,194905.3,303079.9,122756.1,56947.3,80637.3,100121.5,25867.9,35002.6,42327.4,23367.2,30484.1,35178.1,18595.7,47921,29728.7,31014.2,56021.1,63684.6,0,571490508.1,
7,3.737,25040.5,154394.9,213648.8,75249.2,44535.8,53491.7,67479.7,24452.3,28203.8,34828,30901,37610.5,28780.5,25018.2,27177.4,35441.7,34825.4,35842.8,43902.7,0,1314417553.1,
8,5.857,28631.8,98515.3,91148.7,98184.2,49236.2,48405.2,48919.1,34110,38736.1,33169.3,15445.9,26781.2,26418,16553.2,32331.9,28450.6,32212.9,40980.3,34534.1,0,95212571067.6,
9,5.62,17094.8,25887.3,27241.2,61202.5,24838.3,21545.3,19513.5,13123.9,19651,18676.6,11419.1,21679.2,15732,9731.2,15366.9,16910.4,21162.9,15231.8,20663.5,0,158355963671,
10,0.501,11044.1,20407.3,22868.9,22417.9,13619.6,18541.5,20325.2,7176.2,10024.2,25135.2,7330.7,15501.8,13715.1,6367.5,10380.5,11322.8,19781.5,16461.9,24097.5,0,1737735421.9,
11,0.445,19606.6,21794,21179.5,19944.4,18430.5,18152.2,18279.7,19730,21762.3,22959.3,21241.9,28182.7,24095.8,16025.5,46765.7,26585.7,29379.7,19147.3,24810,0,16200151.7,
12,0.615,10850.5,15459.5,16171.9,16296.2,11055.4,12604.5,13035.2,10062.7,11181.9,18183.9,9378.5,13315.4,12075.2,10108.9,19142,13085.2,23146.1,12409.1,20638.8,0,12571197.2,
13,0.299,5490.1,7335.1,9273.3,8429.5,9423.6,10252.3,10161.5,10429.9,16517.6,9213.4,9618.1,19155.2,12931.1,8912.9,24605.9,12679.8,14384.1,11138.1,10181.2,0,911966.4,
14,0.246,9401.9,12044.4,13374.4,15727.7,12590,13904.5,15135.4,12075.2,16645.6,20677.2,9009,28803,22651.3,9215.4,20707.2,13673.1,27984.9,15707.3,21982.2,0,956127.8,
