Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,0.684,10820.8,23525.1,32298.9,30981.2,15327.5,20380.1,24236.6,17406.4,22177.1,21525.3,12757.1,29005.4,25386.0,11728.3,18585.6,18464.2,22299.3,25922.9,22443.7,0.0,2369866.4,
2,0.495,21511.2,26254.3,30190.5,25247.4,24287.2,26380.7,25391.8,22111.2,28321.1,17100.2,17079.0,21545.9,20792.3,13985.8,17910.5,12465.0,16784.0,24315.2,25558.6,0.0,29108.6,
3,0.527,10486.3,11777.2,11696.7,10922.9,9964.0,10104.2,12211.9,9807.2,9310.8,17674.1,10735.4,10118.0,13218.2,9490.6,8027.1,14960.6,12735.4,12161.4,19720.0,0.0,56587.7,
4,0.368,13912.8,17546.1,22840.5,33327.1,16733.7,21596.9,25058.8,14825.4,18954.2,38911.5,9933.9,24829.0,26840.5,12144.4,13060.3,15601.4,38176.8,27085.4,41513.6,0.0,31594.1,
5,0.439,19785.0,20605.6,20556.0,21714.7,20237.3,19681.3,22603.3,23961.0,27390.7,25771.3,21366.2,34821.9,32604.7,22646.9,25807.9,27786.3,35454.6,26685.7,21933.5,0.0,73570.8,
6,0.771,13061.9,28634.7,35285.8,38457.6,19189.8,27349.8,36013.6,17435.7,25893.5,35983.7,10913.1,30041.1,31591.9,10677.0,21593.6,24464.7,37451.5,32026.5,36475.0,0.0,205158501.4,
7,2.645,24473.4,54312.5,71249.4,130890.2,33155.0,37901.0,86575.2,59080.1,54470.8,77634.8,27245.2,45154.9,54657.8,21854.9,37763.3,41231.0,46849.4,48936.0,78679.4,0.0,21143648863.5,
8,1.499,64387.3,75101.1,91962.6,114666.1,77171.0,101536.3,149134.4,91130.7,131488.8,130621.9,48063.7,100136.3,117981.8,47071.7,71500.1,95511.5,112819.4,97176.2,118810.0,0.0,34212976480.4,
9,0.572,22185.5,28874.3,25491.5,23439.6,21627.3,25402.1,23912.2,25906.4,28087.7,22133.5,11855.2,22839.9,21722.7,11904.8,23813.8,18701.6,27424.8,23877.6,23862.8,0.0,21856530206.9,
10,0.869,19099.5,25210.6,31474.4,52942.4,32777.2,32705.4,36928.2,34176.2,47788.6,62369.3,26386.5,46054.9,54017.1,21272.6,54640.7,38395.8,45204.4,51337.4,64536.8,0.0,4450594799.0,
11,13.109,27886.5,165103.7,151771.0,66479.0,43274.6,52403.1,53402.0,23559.7,33100.3,21913.5,14591.5,24273.9,20513.7,13433.6,21174.8,18259.2,20287.8,36238.6,31716.4,0.0,8529290248.5,
12,23.293,71605.7,278697.6,179248.7,53925.5,79059.0,76095.2,67881.9,47873.4,49564.1,45351.3,25714.1,52334.2,45215.3,24886.3,37183.7,44936.6,53324.8,48138.4,49032.7,0.0,2821670644.6,
13,1.031,12206.4,11961.7,10811.6,14651.6,13483.3,15022.1,15393.4,20935.5,17778.7,16211.9,18219.5,21810.0,19002.7,10743.5,20117.4,20095.9,19599.1,17210.2,16788.7,0.0,568689323.3,
14,0.388,11626.1,13744.3,13549.9,29980.0,17137.2,16533.9,18349.3,21388.6,20366.2,13647.3,13833.0,16765.2,14108.1,15331.3,18453.5,12061.4,17264.8,23509.9,18403.1,0.0,85524170.2,
15,0.853,9386.5,12353.5,15258.8,19214.1,16830.9,18053.3,17611.7,19110.3,21047.1,13659.2,11252.5,19466.1,15455.9,8646.0,20413.6,14354.1,18761.5,25424.6,11594.4,0.0,60599796823.3,
16,2.545,13645.9,46130.8,50024.5,27927.0,17585.1,20430.0,23149.2,17435.5,14371.9,16307.5,16602.9,13007.2,13758.1,10963.1,16380.0,13100.6,14734.6,20212.0,15127.3,0.0,5146553620.9,
17,3.13,15315.7,26073.7,34978.0,34565.4,19224.4,22598.4,27112.5,17535.3,30245.7,31858.6,16113.4,23388.0,27982.7,16425.9,18593.8,14221.5,21628.3,40642.3,37734.2,0.0,138823839156.5,
18,1.502,12976.6,18162.1,23995.6,30502.2,21511.6,28661.3,29898.1,16744.4,31647.5,38147.8,19791.9,34212.0,38981.6,11404.0,20609.7,26972.1,28774.4,35686.3,42659.9,0.0,39231.5,
19,0.206,13897.3,13323.8,14490.5,17044.9,13318.8,15593.1,17620.4,12976.1,17897.7,17405.2,17893.1,22861.0,18983.5,15657.9,18752.0,17904.7,19351.4,18742.3,25546.1,0.0,33314.5,
20,0.201,15146.8,14723.2,16119.5,17231.2,17301.4,17043.5,15674.4,20345.1,18327.7,17476.5,28181.3,18869.6,19295.5,17879.8,21227.2,19456.4,15132.0,19362.5,23839.8,0.0,83440107.8,
21,0.255,6988.6,7096.9,6671.4,8202.0,6290.4,6345.4,8352.2,6899.0,7632.2,13153.2,14215.8,13560.4,12168.9,11546.3,8048.4,14925.9,12906.7,9827.1,10180.4,0.0,130105608.5,
22,0.383,23198.2,28362.8,30620.1,27360.1,29787.1,30299.5,29789.2,23228.2,28906.2,30366.6,19505.9,29624.2,35206.6,23211.3,22872.8,26797.3,37863.4,32526.4,22501.9,0.0,32557.7,
23,0.409,16538.2,18401.1,20666.6,17794.7,16979.1,19890.8,20391.0,20588.7,23726.6,27466.5,20821.5,32004.3,28754.3,14274.6,28724.6,39895.4,36131.3,24075.2,25312.7,0.0,29704.4,
24,0.28,8512.6,10853.3,13213.4,10113.5,10007.1,11126.4,11153.8,10070.2,10400.9,9113.1,7751.3,9459.2,10611.5,4242.4,6369.8,11454.5,15379.8,13092.0,11927.7,0.0,24961.7,
25,0.173,9770.1,12466.9,12135.4,16733.5,13203.0,13403.0,15072.1,14507.3,18467.9,21329.7,14441.6,22733.2,20348.0,9807.5,13025.6,21761.4,14463.6,17748.4,19447.2,0.0,31662.8,
26,0.169,7979.8,6756.3,7963.3,8283.4,8930.2,9250.6,9273.8,9828.9,12819.5,12571.9,9112.7,18127.7,11993.0,6551.0,12370.1,17736.9,18425.2,11237.7,11226.3,0.0,17036.7,
27,0.178,11719.0,12476.0,12066.7,12168.5,13284.8,15735.2,13715.7,14602.3,17589.1,21218.3,11335.3,14228.1,14030.6,10959.3,13225.6,17083.1,22174.5,15279.4,18750.2,0.0,28023.9,
28,0.163,7028.8,8546.5,9768.6,9489.9,9498.5,11237.7,11176.0,10436.3,12436.5,14263.5,12335.7,15550.3,17823.2,7583.9,13792.9,18065.5,18437.8,12711.3,15125.3,0.0,24405.2,
29,0.689,11439.6,13662.8,17999.6,22359.5,12898.7,15833.9,17460.5,11000.7,13649.9,20842.4,14043.9,12241.3,20594.7,11968.3,15630.1,20145.7,15810.5,20699.1,19860.3,0.0,48116.5,
30,0.292,17866.0,17904.9,20802.4,20194.1,18550.9,16029.9,17718.7,17168.7,20131.0,13845.4,17439.0,31060.9,21508.1,16822.7,21089.3,27464.8,18797.5,19212.6,18925.3,0.0,30253.3,
31,0.263,11826.9,11750.0,11553.4,12879.0,13349.3,13595.2,12568.4,13361.7,12141.3,22244.9,14562.8,22301.1,19753.0,12017.9,14695.9,24219.3,20958.2,11963.7,18615.3,0.0,15055.9,
