Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,1.103,6958.0,16924.7,21035.5,24117.0,13411.1,14824.5,17439.3,11417.7,16552.2,17109.4,14200.2,13435.0,15101.9,9064.3,10325.8,14668.6,20275.2,14081.1,14883.1,0.0,5817347.0,
2,1.16,12254.4,13464.8,10954.5,14953.3,14511.9,12929.8,11470.1,11494.9,11652.4,14777.2,5848.0,7449.2,10382.6,5511.7,7851.7,4873.2,5963.3,15632.6,20506.4,0.0,9639015.4,
3,19.175,404356.5,603534.0,667455.1,10765032.2,515691.3,490541.1,375077.2,361187.4,374047.6,714459.3,296420.8,484536.2,557037.6,238951.9,406757.3,570706.3,728848.8,483138.2,626198.4,0.0,138108792908.0,
4,3.498,29812.4,84489.5,733386.5,259456.3,76042.0,50027.5,113219.2,75111.7,62732.7,39554.2,16722.8,27349.4,37222.3,21187.0,24953.9,16996.4,28387.8,102987.7,119541.2,0.0,3638449497.6,
5,4.236,18814.2,28757.0,46484.9,956024.2,28834.7,36024.7,44299.6,167821.5,44099.3,56565.3,43549.2,48884.9,49711.5,23689.6,40359.8,58409.3,57821.2,45977.7,61089.1,0.0,956768233.9,
6,4.016,16643.9,23496.5,23925.2,1377869.7,26192.4,30036.1,37132.2,91591.9,41190.2,23321.8,15578.0,32900.7,39137.9,16966.9,21654.8,23256.9,24984.1,65662.2,84876.3,0.0,828478.8,
7,5.873,29398.9,44240.9,53792.5,87436.1,109508.9,69991.9,108136.7,202296.5,72157.7,18170.9,17247.3,28088.3,34037.5,24433.8,26819.3,22968.1,21848.0,116728.9,33455.7,0.0,35208.7,
8,1.218,23969.1,30970.6,32142.3,6984145.4,28080.5,28327.8,27902.2,765188.2,24129.3,40029.1,17840.2,22590.3,26916.4,24509.5,17981.4,26389.2,32269.3,28633.1,42289.9,0.0,218738508.7,
9,4.82,27058.5,76574.1,37407.4,30231.2,30522.1,32130.6,34209.9,25344.9,39296.1,49164.3,39628.2,34714.8,37965.2,30350.1,32142.9,39548.9,41917.0,37105.3,35649.8,0.0,24222815.9,
10,0.243,7554.6,7511.4,10716.2,11130.0,9336.4,11230.7,11381.0,10453.9,12457.1,15913.2,11424.0,17499.7,15484.8,7891.2,11431.0,15781.2,20412.4,13091.8,9662.6,0.0,199859046.5,
11,0.261,10732.2,12361.5,13642.5,17371.5,11863.6,13410.6,12429.6,10177.6,10672.0,14065.1,12168.9,12390.5,12315.4,10973.9,10775.6,18542.1,15928.6,18581.8,20699.7,0.0,14213.3,
12,0.257,8931.6,9429.1,10172.5,9647.5,9717.2,8632.3,10089.2,15939.2,8315.7,12268.7,9192.0,7466.6,11461.3,5225.6,6548.5,9021.3,11808.5,13516.8,15036.2,0.0,15316.5,
13,0.273,8834.4,12439.1,16195.7,12078.9,9520.0,12276.1,15672.7,11812.1,15498.5,11114.3,15075.4,17335.5,14889.0,10330.8,12569.0,15252.5,14639.1,22012.0,14783.4,0.0,47045143.5,
14,0.281,11734.9,17957.0,21903.2,20551.4,16362.6,18716.5,16960.8,13360.0,17118.7,14726.4,6427.1,11600.0,16234.6,8568.1,9458.4,9788.8,15137.5,14841.8,16666.3,0.0,82498.3,
15,0.292,9896.2,13782.8,13578.6,17249.4,15425.5,16206.0,16162.5,18204.0,21082.7,21155.2,12968.7,23052.8,22543.8,8466.0,20835.4,17416.0,22403.1,32932.1,17020.0,0.0,23100.7,
16,0.318,19215.4,22942.8,24119.7,23292.2,24241.9,22118.8,24317.1,22777.3,24028.9,27775.0,15197.1,24602.0,25467.1,18332.0,18197.2,23214.0,31471.7,31617.8,24531.4,0.0,17208.2,
17,0.161,11994.5,11778.2,11090.5,11900.4,11760.5,10613.7,10105.6,12272.0,12741.7,12972.2,10124.7,16496.1,13692.3,11241.4,12065.5,17469.1,15783.1,10845.5,18152.8,0.0,33535.0,
18,0.531,13584.8,22229.4,38457.1,35943.9,12411.5,15406.8,22567.5,9611.8,17063.0,25394.3,12815.8,23802.4,21156.2,9277.8,11153.5,24520.6,19599.5,18854.9,23742.5,0.0,15796.8,
19,0.394,13453.7,13986.6,14645.0,10390.5,13850.4,15042.8,13252.3,15796.2,15187.8,11550.4,21216.0,20179.8,11888.6,15675.0,17051.8,23773.2,15972.2,13713.2,13559.7,0.0,20812.1,
20,0.194,7139.1,7851.8,9686.2,16418.1,8368.6,10133.0,11076.7,8441.8,14420.7,27666.0,13707.0,19079.8,19005.6,11852.8,10581.0,15015.4,20245.1,16255.9,41216.9,0.0,26879.4,
21,0.461,10382.9,13305.1,14021.5,13099.6,14442.7,13719.5,12050.5,12170.9,12406.9,17757.9,14062.0,14890.2,14274.2,11827.8,14613.4,16052.3,16698.4,12442.6,16870.1,0.0,22421.4,
22,0.223,16948.4,16823.4,20504.5,20766.0,17586.9,20369.8,26192.8,21065.5,18809.4,26337.2,22989.8,18899.8,22245.3,17651.3,19198.1,25313.0,22050.0,25354.7,36527.8,0.0,38782.6,
23,0.406,4504.6,4561.2,6819.7,7303.4,5994.3,6625.2,8347.7,9377.6,9849.0,5425.2,11658.6,11885.4,8940.7,6541.1,13226.5,17931.3,13369.2,10054.3,9633.4,0.0,14380.4,
24,0.371,15981.9,16442.4,14657.7,12365.2,17773.6,19373.1,16305.8,17698.6,19613.0,17193.8,19971.0,16119.9,13520.0,21607.1,20576.1,20506.3,13709.0,14290.9,17669.7,0.0,41145.0,
25,0.202,8865.8,11050.6,13041.1,12141.1,10341.2,12175.4,13569.4,10689.0,14928.6,8144.4,6760.1,10964.1,9916.8,8019.8,8336.0,9235.6,15736.7,11367.2,13783.7,0.0,18437.5,
26,0.21,19914.4,22832.2,24626.8,19832.6,26648.6,28204.3,26202.6,18293.2,21702.5,17626.7,10073.7,22448.4,26357.9,11971.9,14003.7,32484.6,28093.8,25299.2,23012.2,0.0,36615.1,
27,0.189,16269.9,20863.2,19043.4,17965.7,20699.2,22959.1,21140.3,22049.4,20708.8,25145.0,26347.9,22198.4,23315.6,23609.4,24104.6,28234.6,28861.5,19526.1,26692.1,0.0,44042.4,
28,0.238,13933.7,12555.1,13367.8,14710.7,14582.8,16539.1,16115.8,13731.6,20720.0,24588.7,10576.5,25769.8,29280.9,17829.5,14299.8,18321.1,31809.6,19517.7,21642.9,0.0,30533.0,
29,0.172,14767.3,16423.0,18768.1,15314.6,14958.1,18360.4,19383.6,13184.3,15089.8,10980.8,17894.1,17925.4,15537.0,13641.2,17321.3,18301.8,18564.3,16187.4,10875.6,0.0,46253.5,
30,0.234,10196.1,14425.7,18108.6,19388.1,14694.9,17184.7,18686.0,13653.3,19379.2,17747.1,11618.5,17105.3,15335.0,8249.7,16997.2,14575.3,11973.9,19984.1,22967.8,0.0,27859.4,
31,1.588,12277.5,44637.0,40230.1,21821.6,21921.1,25049.4,24317.9,14656.2,21596.4,10625.0,8431.0,10457.0,11676.3,11090.7,11286.9,10189.1,11003.7,13960.4,15946.7,0.0,25424.2,
