Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
28,0.188,8910.5,9219.7,10774.5,11068.3,9712.2,10770.1,11627.3,10819.4,12447.9,27703.6,16957.8,13878.8,14875.7,13025.5,13861.4,20658.2,24758.0,12676.3,22361.6,0.0,34786.0,
29,0.193,7517.0,14033.3,16327.1,15425.2,12653.3,16618.4,17586.7,8088.9,14729.6,12562.7,5582.2,10495.0,11566.7,6460.4,7479.5,8582.4,13742.9,15244.7,15439.6,0.0,28699.9,
30,0.178,10968.7,9231.6,14443.2,17784.1,11777.4,12850.1,16403.6,17757.6,18098.1,29097.6,20899.4,26899.3,29891.0,20812.2,27787.4,22060.1,33731.5,18402.9,23482.6,0.0,28036.3,
31,0.256,25038.5,31545.7,36315.7,35299.4,31664.3,34771.8,36741.5,29464.6,36010.8,33472.5,27864.6,29228.1,32989.7,23909.5,26785.0,34217.1,31264.2,32652.8,36306.5,0.0,28541.8,
32,0.212,10637.2,12603.7,15221.7,18589.9,11940.2,14062.3,14944.0,12296.7,16256.6,26090.2,8311.3,19557.3,25575.7,7905.1,12355.2,11430.7,18443.6,19912.6,25484.3,0.0,24967.7,
33,0.185,13920.1,17076.2,18300.7,18122.5,18402.2,23468.5,23050.5,15624.3,23017.5,20233.5,15718.8,14637.6,18116.3,13806.4,10361.7,8724.8,17197.1,20853.5,16305.3,0.0,24129.1,
34,0.278,31202.9,33587.3,31617.4,28582.4,32467.5,35522.2,33203.3,30271.9,36084.1,34891.9,29955.4,34681.3,33979.5,29318.2,27249.0,29232.6,38483.2,34554.8,31786.9,0.0,75197.2,
35,0.193,11056.4,16098.8,18145.8,15688.3,16284.3,20246.2,20146.2,13949.7,17697.3,17217.7,10519.2,13030.6,15978.0,11616.8,14418.3,12045.2,9935.4,18064.5,19539.4,0.0,32720.9,
36,32.61,18946.1,131165.0,88398.7,36018.2,25149.1,33408.2,36221.4,12187.9,23735.4,17264.4,12446.8,15855.2,17284.0,12142.8,12220.0,12343.4,12596.5,25584.5,26234.3,0.0,17129.4,
37,1.029,27675.0,33090.4,34463.2,32844.4,33072.5,35302.5,33126.3,30423.9,38124.3,34903.1,21328.2,35623.9,34611.6,27759.6,29611.2,19925.9,32500.4,36939.5,37742.3,0.0,44369.8,
38,0.342,9277.8,11114.1,12202.4,11943.1,10892.4,13705.4,12670.7,10407.0,14895.2,13541.0,8917.7,18793.2,16110.3,6041.7,11729.2,14302.3,12610.4,12464.2,10357.8,0.0,37812.8,
39,0.317,12196.8,14074.6,13785.0,17656.5,13794.6,14235.8,13479.0,14565.0,14009.2,21651.4,11679.1,13490.0,16827.4,12282.1,13600.8,10214.4,16707.5,17362.7,24237.9,0.0,15929.5,
40,0.226,11578.9,13080.6,14540.0,14790.9,14361.5,16462.3,14600.2,12492.2,17596.4,17737.7,12264.4,18524.3,17829.9,13086.2,15685.8,17014.9,26113.5,13979.5,14334.1,0.0,41407.0,
41,0.26,6292.7,9542.5,12928.7,13294.1,8794.9,10511.2,11467.7,5823.1,10606.8,21909.2,5613.0,21836.6,23614.4,4636.2,8079.5,15768.0,27190.7,19849.5,21152.3,0.0,20389.5,
42,0.467,17194.5,16567.9,16474.8,16520.3,15833.8,15666.9,15090.9,17227.0,21640.4,39584.5,17902.0,22652.9,27413.8,17319.3,19787.6,24995.1,36703.6,19859.1,32972.2,0.0,34750.5,
43,0.5,10100.5,15431.5,15730.0,16537.8,11954.6,15004.8,14331.9,10087.1,14015.1,16787.2,14321.8,15719.8,19717.5,11105.9,13809.7,14800.3,16671.9,14672.9,19676.5,0.0,22631.4,
44,0.383,10457.8,14823.7,15022.9,18779.4,13808.3,13563.5,15478.0,13851.0,13821.0,26493.3,12876.7,10006.5,20231.8,11856.9,13123.6,9419.2,15321.5,19471.6,27564.5,0.0,24260.1,
45,0.351,8479.3,8186.5,9804.5,8920.0,7994.1,8822.7,9458.2,6640.7,8488.1,17804.2,8094.3,8537.2,10465.1,7690.1,7611.8,9306.4,12752.0,8681.6,13918.8,0.0,22543.9,
46,0.498,17301.0,15105.7,17279.4,14314.3,16432.0,16956.0,17308.6,16311.0,17753.6,18787.2,21956.5,21801.4,19671.7,22375.5,19480.4,19323.3,21612.2,16259.0,17607.8,0.0,30501.6,
47,0.39,12316.5,18261.6,21763.5,18002.0,18105.9,21450.6,22631.7,15031.1,21134.3,22114.2,18879.7,30761.8,29177.4,15390.2,20782.6,21922.5,28845.1,23033.8,22258.7,0.0,22685.4,
48,0.46,17168.5,23335.4,22607.9,22938.6,17272.2,20982.7,20305.3,21515.9,22760.2,30054.2,18744.4,25112.1,24120.6,17835.9,20671.7,19092.5,20251.6,21409.6,34320.9,0.0,24973.6,
49,0.352,11753.1,17736.6,21471.6,20846.9,18219.8,20623.4,20570.7,13739.7,23133.1,31350.7,6097.2,17591.7,21083.0,8637.0,13710.5,12533.2,19446.9,22340.9,35750.7,0.0,27526.6,
50,0.311,9058.6,18595.1,20678.8,17243.0,18667.7,22326.6,22757.9,11996.4,30954.2,20156.8,10277.3,47412.8,39581.2,7369.8,11428.2,15658.9,34252.2,27668.6,21212.3,0.0,19708.5,
51,0.338,7117.1,7962.7,8277.9,6249.6,9068.9,8969.4,8837.6,9545.0,12045.7,13044.8,10093.6,58016.0,14433.6,9450.8,13773.2,27230.1,26664.1,11504.4,12331.4,0.0,21335.7,
52,0.433,48283.5,49749.3,52042.4,49578.5,48987.6,53000.2,54063.8,41704.1,48882.2,54562.6,36536.9,87267.3,55271.7,39377.8,38627.0,62061.8,71663.7,55844.3,54208.6,0.0,45051.2,
53,0.335,9380.8,12403.1,14222.0,12162.7,11317.9,14384.6,13429.8,9690.7,10482.4,11444.7,22626.8,16142.3,10419.7,8792.9,13354.0,59348.6,12090.2,13151.9,12518.8,0.0,21575.2,
54,0.299,11677.3,10251.7,11831.8,16983.1,11718.2,12499.2,15763.8,12996.1,19152.7,17931.1,14287.7,61822.5,21481.6,13157.6,18690.2,28046.7,19995.3,18534.6,21370.2,0.0,29249.2,
55,0.27,10083.5,14259.1,17824.7,16363.1,17296.7,19629.9,20828.6,15496.1,25281.1,15552.1,5940.2,40566.7,21032.5,6875.4,16038.2,16887.4,19780.8,19601.3,21880.4,0.0,18006.7,
56,0.282,6777.8,12402.7,13818.9,13453.0,14759.0,18536.6,16445.7,12520.3,29300.7,17388.7,7385.8,34092.6,19982.5,8060.4,15047.3,16282.1,17425.0,18527.8,20006.9,0.0,22940.6,
57,0.488,17068.2,19469.0,22517.8,30853.3,23234.0,27236.1,29537.2,19513.6,33160.1,41243.8,8331.5,33540.8,33638.6,11643.8,16983.7,16297.8,29638.0,34185.7,43151.2,0.0,133080325.9,
58,0.297,11632.1,20304.7,26417.5,28582.6,20556.8,24973.7,29135.2,17945.4,29756.3,26450.3,16770.6,63196.9,28147.5,8887.9,29830.2,77366.5,34682.2,28665.3,32729.3,0.0,32460.4,
59,0.268,9138.2,11573.7,12321.8,10530.5,10362.2,12992.5,11874.3,9998.5,12017.4,8055.9,14401.5,22634.5,9047.9,9190.9,12364.2,41194.2,40040.7,9847.0,12831.2,0.0,25878.7,
60,0.288,8693.0,14160.2,18406.9,16768.7,16356.9,17875.9,17730.5,11808.2,20399.1,22171.6,14055.8,25953.0,17576.6,9490.4,13467.2,54632.0,16484.4,17098.4,23814.8,0.0,23723.1,
61,0.333,10363.7,11558.0,12499.9,8418.7,12507.7,12302.0,12185.6,12505.4,15173.5,5647.7,5713.6,30447.1,10375.8,8445.2,12129.5,16861.1,11450.0,10070.0,7016.4,0.0,16454.0,
62,0.388,27585.0,32463.1,34758.9,30148.2,33727.4,37388.3,34213.5,31312.4,40089.4,34427.3,23599.8,67448.0,42842.0,25138.5,30050.8,63081.2,53138.2,36604.1,34140.5,0.0,38253.0,
63,0.349,13489.2,18420.4,21103.7,21111.1,19748.5,23266.2,22749.6,20177.7,30347.8,34644.0,12604.5,43911.1,31791.1,9505.3,20919.6,26395.6,36256.6,28039.0,30643.5,0.0,19424.3,
64,0.305,20202.0,22507.5,22337.6,19349.5,23166.4,23824.4,22439.0,22638.6,26337.0,17845.7,14650.0,15752.5,16532.0,19706.2,18107.4,15412.1,14628.7,22390.8,22242.7,0.0,45654.4,
65,0.305,17770.1,27406.4,29533.3,25170.5,27636.2,33639.6,30926.3,19053.6,29831.4,19716.5,11333.9,59418.7,23829.7,10124.6,22934.6,54109.2,22898.9,26629.5,21213.1,0.0,38708.0,
66,0.316,8675.3,8485.9,8640.8,9959.3,8228.8,8752.4,8037.7,8507.5,7419.2,14762.4,16611.7,43674.2,18095.2,14631.8,11766.2,29464.1,21771.8,8921.1,15126.0,0.0,31382.5,
67,0.259,15224.5,26267.0,30693.9,30828.8,27945.6,36384.4,34971.4,19816.1,45523.2,40983.6,22848.6,125336.3,55720.2,10948.9,40596.9,81767.0,63491.5,44967.3,37508.9,0.0,32327.3,
68,0.254,18821.3,24783.4,28583.9,20627.2,22929.2,26349.0,22656.8,13421.8,21256.8,21625.5,16579.7,235632.0,58305.8,11265.2,37356.6,135241.8,109974.3,18424.3,13687.7,0.0,37629.3,
69,0.276,13121.4,17407.7,23301.2,21485.7,19508.9,24125.6,26368.8,17910.4,26427.8,52294.9,17804.8,294602.6,88134.0,10700.8,43590.5,119357.0,327581.9,20467.5,18292.4,0.0,34858.7,
70,0.259,21582.8,25687.0,25051.2,26116.4,32958.5,37485.0,34537.5,21050.5,47097.1,43960.7,16398.9,78394.2,49697.4,15374.2,14730.4,59675.3,67611.7,35899.2,35522.9,0.0,28799.1,
71,0.523,15003.1,16809.2,20534.6,17235.4,18751.0,23165.9,21282.6,18554.6,28013.2,25897.6,23931.2,100545.8,46276.6,16006.1,39178.8,62960.5,58441.5,22295.9,22058.2,0.0,18392.7,
72,0.283,7793.0,8015.0,10096.6,11326.6,7903.9,8632.8,8976.1,7714.8,8587.6,18203.5,12034.5,51951.5,18416.5,8879.5,14862.5,36322.8,33564.6,11343.3,13724.8,0.0,33679.3,
73,0.29,18518.7,20643.3,18225.4,15262.8,23358.4,23527.2,22314.3,27825.5,40046.6,16312.7,15343.0,122922.4,38627.9,16461.7,44346.8,56319.5,33419.3,24293.2,18389.0,0.0,32790.8,
74,0.239,12484.1,11149.7,9701.4,8118.4,13104.2,12024.2,10725.8,14163.9,17269.1,13221.9,16761.0,33416.6,18143.2,13900.6,20684.8,29679.0,12257.7,12315.1,9745.1,0.0,29632.0,
75,0.265,9419.6,9608.4,10768.7,9511.1,10427.1,10272.3,10007.4,7899.4,12214.7,10242.9,6770.2,46478.5,13752.9,9142.0,6791.8,15498.6,13935.4,9241.7,13873.3,0.0,16831.4,
76,0.249,5053.0,5427.4,8012.9,14833.0,7063.9,8863.0,10203.3,6358.0,13916.8,34039.7,9037.4,60299.8,26639.6,4605.0,14162.9,38315.7,25812.6,16480.4,33171.0,0.0,14287.5,
77,0.27,4813.5,7821.1,8592.8,12387.1,6239.7,7342.4,9779.1,6263.2,10421.0,21105.1,5244.5,37032.6,21050.4,4877.6,10070.3,13098.7,22445.4,13843.0,22594.4,0.0,12547.8,
78,0.23,8285.3,7137.4,6558.4,6474.9,8125.8,8406.5,8079.1,8667.8,9454.6,17280.8,12914.8,59646.9,29264.1,9927.0,14774.2,36458.5,74105.6,8250.1,15754.3,0.0,24665.2,
79,0.227,15424.1,17540.7,18913.4,17314.8,18012.1,21368.0,19772.1,15803.5,21466.9,22168.8,13628.7,74930.8,28636.4,11976.7,22922.7,61694.8,31072.7,19809.5,19758.8,0.0,24779.1,
80,0.285,18395.0,19330.0,24091.6,27880.3,19875.9,22592.1,24233.1,22236.9,26780.0,35639.9,19497.4,84597.4,48895.6,17669.5,27848.3,41802.1,47000.2,30156.3,33124.7,0.0,21814.9,
81,0.265,6000.9,7470.7,5869.6,10821.0,8777.2,10547.2,10131.3,10071.3,12810.6,23819.6,9653.9,34985.4,19173.8,7543.3,11621.0,26216.7,27608.8,16202.7,22035.8,0.0,21468.2,
82,0.273,10503.0,11671.4,13090.4,12276.4,12731.4,17245.2,17783.9,20482.4,26167.3,18865.9,34335.5,89412.7,34640.3,18200.7,43287.0,95371.7,61867.2,19988.8,13995.4,0.0,19045.8,
83,0.345,13572.8,16021.3,17618.9,17251.1,20344.7,23605.2,20651.9,19655.4,28799.2,29322.5,28290.8,65358.3,36258.6,18128.4,23292.4,40747.7,35979.4,25504.5,26311.1,0.0,27624.1,
