Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
28,10.226,24866.8,76510.7,57197.0,22579.7,28575.2,33081.0,30182.9,20567.3,33947.9,25850.8,13096.0,49001.6,31994.3,17212.0,30720.8,28308.8,40998.0,24808.7,23246.4,0.0,738974.5,
29,0.564,15076.9,13512.3,14280.3,25635.5,15354.6,14191.6,14010.2,26492.4,16899.3,14809.6,12452.9,14852.1,14887.8,17247.6,20986.9,17181.2,11855.4,18329.2,13641.6,0.0,1192958274.7,
30,8.2,60876.8,185419.6,138789.1,50375.8,82840.6,83891.8,65813.4,62107.0,53788.5,32070.6,32660.3,39072.3,38617.7,44998.8,41646.3,32784.8,35969.3,45384.5,34740.0,0.0,3691431853.1,
31,13.346,24484.0,195131.5,139858.1,22687.5,36354.4,44150.8,33641.9,12677.9,14509.4,10190.1,6057.2,22698.4,11625.2,11616.0,11558.5,28369.6,15143.2,11660.9,6943.1,0.0,15174578.6,
32,0.214,10717.4,10288.3,13326.4,15373.6,13595.1,12414.8,15302.0,15957.1,16258.8,11815.2,14361.7,16539.8,17327.7,12273.6,40923.5,19806.1,20792.3,15835.4,9330.7,0.0,33451338.2,
33,0.304,9985.0,7932.7,6941.1,8161.7,9995.0,10568.2,9435.5,7820.2,13621.8,18531.1,10000.0,13535.7,17180.3,7885.8,19310.2,11207.8,12451.8,12741.8,17520.6,0.0,2986981.9,
34,0.631,15880.5,13644.9,16518.4,16096.0,16902.6,17789.5,16921.5,14240.5,18007.9,15375.1,16839.6,18226.9,14158.3,17315.9,26393.9,17238.9,13141.9,13984.7,18310.4,0.0,470397.1,
35,0.552,11512.6,9272.3,8321.9,7924.0,8817.4,10322.6,10182.7,9680.5,12014.5,8830.8,9286.6,15604.5,14282.1,9495.7,25821.6,18848.0,11587.9,11063.0,9602.7,0.0,577419.6,
36,0.704,8725.5,10308.9,9845.7,7181.3,10256.6,12810.1,10148.7,7424.2,11275.1,8622.4,7400.7,6603.2,6534.2,7742.6,19890.8,10519.6,8916.5,7988.0,7780.4,0.0,697434.1,
37,0.392,14064.3,13239.9,17047.6,12589.0,14753.3,16577.1,15389.1,16747.6,20743.2,17482.0,11015.6,28244.5,20943.9,12760.3,21191.7,18122.9,25658.9,18095.7,13193.2,0.0,658503.0,
38,0.334,9822.4,10628.7,12448.4,15948.9,10921.7,10981.6,12671.6,11462.9,12718.9,13720.2,19124.1,21565.4,17897.6,14076.3,36801.4,18131.0,13461.9,16735.3,21626.4,0.0,673046.2,
39,0.446,8114.7,8174.0,11141.1,10613.5,9596.7,12431.0,12711.6,9093.6,15423.6,16759.4,7305.4,22789.7,17216.6,6776.3,31908.7,11271.9,17167.2,16318.3,14416.7,0.0,690623.4,
40,0.326,5868.4,5324.9,7131.8,6525.6,7778.3,8881.6,6879.9,6279.5,12184.2,11594.0,11822.5,14320.8,12705.6,7635.9,17523.7,22534.4,18916.8,8897.6,9051.5,0.0,634347.0,
41,0.385,8655.7,9231.2,9577.5,8725.7,12874.5,11954.0,10852.2,12934.5,14546.2,11392.4,8114.5,19354.9,14773.4,8599.0,23073.3,15668.2,19491.0,11699.8,11514.5,0.0,719717.7,
42,0.231,8802.5,10565.4,8449.8,9792.7,11742.6,11977.3,11127.3,12917.7,13358.5,7466.5,12265.0,14282.0,9786.0,8721.6,30279.6,30597.1,10310.1,10288.4,8310.0,0.0,4858485.8,
43,0.377,10685.9,12507.9,18235.0,23299.2,13062.9,13640.5,19538.5,12080.3,19823.6,30462.2,11916.0,28771.4,30411.4,9940.7,11863.0,24383.2,38759.7,24881.6,35820.4,0.0,2729428.7,
44,0.292,11280.4,13541.9,13772.6,15738.5,14443.0,16090.6,15333.6,11728.5,19914.0,18974.3,6497.3,18308.0,19733.3,8062.7,19915.4,11872.7,15806.1,18084.5,20366.1,0.0,15851792.2,
45,0.278,18603.3,22625.8,19139.8,15014.6,22797.8,22558.5,20436.0,21962.6,29060.5,13078.8,12773.4,27227.0,16020.3,15416.7,26761.2,26504.7,14313.6,17936.1,11275.1,0.0,2183186.6,
46,0.383,9814.7,12872.5,14582.4,12309.8,15773.6,18580.1,16985.7,14358.3,23290.1,7608.6,14393.0,15369.1,13515.0,11320.6,28519.7,15987.3,8556.5,14808.9,9864.4,0.0,6295129870.2,
47,0.36,8834.3,9316.2,10321.0,8638.7,9168.1,9647.9,8584.6,551601.6,9863.9,5702.3,10989.2,14524.3,5804.2,14196.3,7593.9,9409.6,9815.5,8100.8,10433.5,0.0,115432891.6,
48,1.779,11042.1,13499.4,16417.6,15479.1,13779.3,15409.3,14701.7,23793.9,16463.0,26102.9,12436.4,12767.3,12681.5,10745.1,7380.0,15421.4,18500.4,15001.3,27565.5,0.0,1477457625.4,
49,0.393,9691.4,15349.9,21545.6,17096.7,17429.7,22707.4,20507.4,14897.0,31870.6,15440.3,8232.6,25731.0,23472.4,7948.1,18508.2,13821.6,20833.7,20324.9,13939.9,0.0,16182398.0,
50,0.267,6729.5,8979.7,7940.9,8404.4,8998.1,8954.5,9075.2,9251.7,9668.3,12691.0,7192.2,21026.1,14321.6,6684.4,20750.1,14764.8,19790.6,9060.2,9714.5,0.0,951829.6,
51,0.287,8600.8,8051.1,10158.8,12152.1,9701.5,9635.0,9257.7,9361.0,12073.7,17232.9,7733.3,8827.2,14314.7,9568.6,17247.6,7775.0,11714.9,10486.1,18947.1,0.0,715809.8,
52,0.225,13341.0,13150.6,12649.7,12056.9,14120.8,13227.4,12089.7,17149.6,15396.7,14173.4,21110.4,28519.3,16100.2,16286.4,29708.4,26411.4,19605.2,12847.0,13209.0,0.0,744977.7,
53,0.325,10222.0,9647.0,9777.0,11956.1,12884.6,14609.3,14751.1,15880.3,20753.3,25962.4,16735.4,38853.3,30933.5,13933.7,50728.1,32945.4,31484.8,20404.5,20452.8,0.0,409071.6,
54,14.869,37103.9,142031.9,124972.6,56605.4,61571.1,75470.2,68655.9,27034.1,45889.9,29208.0,11079.3,40166.5,41256.9,18076.1,25335.2,19064.8,34315.0,49910.4,40616.9,0.0,38241461.5,
55,1.801,15705.1,23239.0,9858.6,12564.8,14407.7,13219.4,10934.4,14490.6,15931.6,9790.6,8688.6,18319.7,12813.6,7896.9,14166.6,28241.3,11242.8,12169.4,10457.8,0.0,6727578.3,
56,0.318,23265.0,21551.2,19997.5,24216.3,20577.7,20842.0,21916.9,22781.8,24470.8,18757.9,17353.5,27326.1,24562.6,16954.0,26592.4,17639.6,21600.7,26288.1,21523.5,0.0,1078689.8,
57,0.748,19294.8,76050.6,101104.4,58570.9,35756.0,18281.5,37555.4,64561.9,16455.0,23933.2,14734.8,34562.0,34490.2,11784.9,25860.0,21540.8,27855.1,29110.9,33376.2,0.0,473443.6,
58,0.832,8731.4,12670.2,20610.4,20950.2,11126.8,16251.7,16898.1,617625.7,10841.6,18255.2,17748.6,22780.1,21350.3,10076.4,9055.8,14959.4,22834.5,17017.8,25019.0,0.0,1009854.9,
59,0.51,19064.3,21569.5,27096.2,28469.8,26285.3,30718.2,30947.2,27322.2,34819.2,37523.5,22479.9,38719.8,40531.1,17413.6,27449.1,25271.6,51581.3,38200.5,35343.3,0.0,864340.7,
60,0.24,14393.8,13746.9,20285.4,17522.5,17295.5,18754.9,19696.8,12341.1,19333.0,15122.0,15020.4,17312.2,17934.4,15159.1,13617.8,16138.7,15726.3,19747.3,16374.1,0.0,735454.1,
61,0.227,14256.2,16450.5,18149.0,21078.7,18304.4,20707.6,21442.9,18276.5,25557.9,21115.6,11940.4,20110.3,20126.4,11832.9,17226.4,19445.7,19826.1,23199.9,27417.2,0.0,635243.2,
62,0.322,13854.1,18505.6,19213.8,20618.6,17004.2,22148.6,22135.2,902525.1,24819.4,21002.7,19590.1,18600.7,22348.5,14709.4,86832.2,28078.3,21589.3,24394.4,26376.6,0.0,785715.9,
63,0.438,19637.5,23198.2,25811.6,26470.2,27231.5,29617.7,32480.3,29505.6,40355.9,43213.3,22987.7,40284.1,41930.1,29306.1,55537.6,21420.3,32851.3,38700.4,40365.3,0.0,996093.5,
64,0.237,16098.0,23048.8,22908.3,19170.6,24296.8,29043.4,25800.8,20728.6,35828.9,21582.1,20849.9,29427.7,21182.9,20892.3,25893.5,19567.1,21295.3,24107.3,24690.3,0.0,1197669.4,
65,0.217,5821.0,4899.1,12705.5,12549.6,8464.5,10546.8,12161.8,8120.6,13569.9,15927.5,9753.1,14269.0,15374.2,8854.0,30507.5,10745.9,11576.3,12307.5,19215.8,0.0,998493.9,
66,0.228,13478.0,15108.7,14406.4,12648.8,16453.5,16309.5,14023.0,18954.6,14660.5,18626.0,16537.4,30405.1,18804.6,14360.2,68076.7,41316.8,18958.2,13238.9,13961.9,0.0,1083295.0,
67,0.317,8641.6,8353.4,11156.5,11943.0,8666.6,9125.7,9509.4,6945.6,11088.9,10200.0,9710.1,31015.1,15611.3,6100.6,36569.3,19292.9,15993.6,10652.1,9413.8,0.0,1155132.2,
68,0.307,9758.4,11918.0,12189.0,10238.3,13065.7,15202.7,13745.3,16409.0,20512.5,7336.9,11110.0,32050.0,16617.3,12236.0,33846.7,16585.7,12224.7,13466.4,9416.1,0.0,973648.3,
69,0.631,11725.4,13829.5,11013.3,13413.5,13952.0,13330.0,11721.2,15028.7,17292.2,13562.6,14930.3,23124.8,17175.3,11407.4,27727.4,25008.8,18369.6,13956.0,14331.7,0.0,938361.5,
70,0.324,12138.5,13937.6,15229.9,14925.3,15443.0,20180.5,19221.0,13847.3,20483.2,23398.5,9268.4,32856.0,30482.5,9973.2,25781.4,14765.1,22139.8,21186.8,18657.3,0.0,1073541.5,
71,0.243,15121.1,14754.1,16225.7,19906.4,18971.9,20214.5,22904.6,19717.7,34672.5,30956.8,20000.6,82403.1,40502.4,18036.2,63548.8,53703.1,25091.8,32713.7,31675.5,0.0,1037160.5,
72,0.216,10835.5,14954.9,13898.4,12646.0,17196.5,19337.9,18615.9,10498.5,26884.4,19321.0,18390.7,61640.2,28988.6,9020.7,21618.0,38940.6,26187.2,17676.8,12456.6,0.0,1001356.2,
73,0.355,14354.2,15409.7,18079.9,20078.9,16243.8,18850.8,19828.7,14144.2,19308.9,30029.1,21528.6,44904.7,46010.9,16839.5,25048.2,26774.6,49051.2,23941.5,32124.0,0.0,1211239.8,
74,0.217,9856.5,8689.0,10030.8,7888.0,10453.1,12101.8,9646.8,12900.0,15882.6,13083.8,14862.3,37354.3,20182.7,10376.8,26929.8,33502.0,21789.0,11730.0,9612.4,0.0,1108861.8,
75,0.288,12228.0,14623.2,18139.1,17058.8,18786.8,22360.1,22431.2,24983.0,27929.7,25144.5,19284.1,54678.9,36875.5,14010.2,44457.1,41781.4,35507.1,23094.1,19167.0,0.0,1112626.8,
76,0.325,20354.0,22396.5,28226.1,23359.8,22710.9,28153.7,28670.8,24387.2,25569.5,24065.6,25190.5,30583.0,18408.4,21961.0,42461.5,36181.1,22263.9,20182.7,20979.8,0.0,1028652.8,
77,0.221,9670.2,12695.6,13159.1,11126.1,11679.9,12893.4,11304.5,8760.3,11783.6,21402.0,11164.0,27412.2,21573.8,8670.9,42799.4,18086.1,22305.8,12488.2,19733.9,0.0,901606.4,
78,0.38,17146.7,14941.2,14907.6,15666.5,17795.5,18064.8,14866.5,13658.8,17016.5,39946.4,8188.3,17937.7,29325.9,10512.4,20070.3,16717.2,45930.7,17303.8,32609.7,0.0,1098371.5,
79,0.265,9545.3,7019.8,6738.3,9115.5,8414.5,7165.2,8748.5,11731.7,12705.2,21178.5,13879.8,23848.2,23203.9,10557.8,21694.3,24831.4,27583.3,13312.5,19654.3,0.0,1114656.5,
80,0.295,8956.1,8940.1,10610.5,12911.2,10526.9,11284.1,11570.8,16150.7,16546.7,29424.6,16887.6,32132.4,38271.8,14187.6,27762.7,22829.1,40780.9,19992.2,19506.6,0.0,882175.7,
81,0.248,5800.8,8232.5,8771.3,8811.2,7544.5,8222.0,8371.8,7837.7,9882.8,12327.3,6376.8,25955.1,13320.0,6341.3,25110.7,17718.6,12474.4,8325.3,16718.0,0.0,1002316.9,
82,0.339,16691.4,17099.9,18242.0,18771.3,20246.0,20206.7,21575.6,18259.0,24692.2,27661.6,14410.6,26315.1,25867.1,12392.7,49576.6,41315.9,23397.2,23559.7,24674.0,0.0,950671.1,
83,0.296,15187.8,14043.4,12645.1,11376.4,14545.0,13378.4,13182.6,22235.1,22671.2,16939.5,23191.8,100386.0,38270.3,18616.5,36483.0,51121.3,25270.5,17236.8,13232.4,0.0,881683.3,
84,0.276,10262.9,12319.7,17327.0,20569.5,12535.9,14179.8,16044.8,10238.6,18867.9,43471.5,16659.0,97803.7,62496.5,10923.7,39420.7,37366.0,66121.3,30211.5,42405.6,0.0,945868.9,
85,9.19,12395.1,51284.9,44101.4,15423.8,17074.8,19430.0,17360.7,17118.4,19224.1,21422.4,18368.9,44191.7,36446.0,17538.3,51513.3,24181.8,29626.0,19981.3,17668.8,0.0,897336.8,
86,0.217,15757.8,19901.0,28551.3,29353.8,21671.6,26772.1,28769.1,16980.3,21456.7,54131.1,21729.6,68019.2,79087.7,16126.3,38718.2,54322.7,88009.8,34019.6,43847.1,0.0,1014058.6,
87,0.298,17379.8,16677.6,17130.1,17464.5,19849.9,20644.3,20136.1,27492.9,26190.0,26552.5,23408.0,47456.5,46613.5,25522.5,28067.2,35118.2,39777.3,22311.6,17540.3,0.0,982746.3,
88,0.284,14818.2,13598.5,14516.2,16123.1,15103.0,13411.1,13193.7,14893.3,14793.8,35023.1,22998.6,34547.8,32445.5,16894.9,27837.6,29802.0,46077.5,19928.5,29026.5,0.0,866793.1,
89,0.275,11643.1,9490.5,10857.0,13042.9,12510.3,14142.0,13552.7,11341.4,16210.2,40308.6,21045.9,54077.2,33650.3,14366.6,36550.5,50445.2,50035.7,19390.3,29712.0,0.0,938713.5,
90,0.317,8139.9,11506.9,15816.9,13028.4,16125.9,19123.4,17705.0,14646.0,22718.2,14161.6,22158.0,55744.7,23488.4,13532.9,28855.6,45764.3,24047.0,16428.2,13337.9,0.0,945259.7,
91,0.252,9846.8,11367.7,15288.0,22810.4,15325.1,16519.7,19826.4,25136.0,44445.6,71751.0,26485.5,243985.3,158146.4,14837.6,79619.1,91391.0,123326.1,49876.2,53939.4,0.0,840803.3,
92,0.335,9367.9,13839.2,21503.7,22983.8,17360.6,21872.7,25161.5,15644.3,35797.8,35157.0,21219.6,209071.0,109993.8,13080.3,66306.1,53845.3,109920.0,36039.0,26133.1,0.0,996822.9,
93,0.315,17886.0,20677.2,20569.3,19649.8,19652.6,21964.5,21094.6,21834.1,28231.0,74749.3,23283.2,165372.9,152081.6,19479.5,108134.2,63205.8,141802.1,38257.8,34930.1,0.0,872520.2,
94,0.29,10566.8,15461.8,22547.8,27955.8,16695.5,23112.6,29654.8,13572.4,40256.6,141215.0,11155.9,209397.9,227118.0,7724.9,38290.6,49245.1,228558.6,66512.4,71343.1,0.0,889232.9,
95,0.289,14910.4,19815.2,23354.7,24989.4,22019.7,24218.4,22862.9,18376.8,26401.0,30179.7,13310.5,41986.1,36347.6,11893.8,34059.8,18073.5,35769.7,25790.4,38844.7,0.0,936138.1,
96,0.301,10340.3,12677.0,17588.7,15407.0,13942.5,16447.1,18600.9,14478.0,22573.6,18245.1,10778.5,24906.3,23070.3,13501.9,41002.6,13901.5,22387.5,17669.9,14619.3,0.0,850938.6,
97,0.383,9194.7,17325.1,28235.0,30313.6,19841.4,27207.1,29290.8,14988.2,28874.3,31631.9,7529.4,33715.0,28847.3,6590.8,40644.4,24860.5,29511.2,26293.2,37749.6,0.0,889975.2,
98,0.211,5812.8,6538.0,8625.4,9780.3,7678.4,9026.4,9023.0,10331.2,13070.5,16897.6,13343.4,21343.8,16456.6,10864.1,36745.5,15235.0,11079.8,11958.9,20421.6,0.0,725387.7,
99,0.397,14388.9,13917.4,15329.9,18548.8,17101.7,18858.7,17262.0,19524.6,19392.7,20919.0,18291.3,32739.1,28003.5,18494.7,38993.7,22707.0,23094.7,18749.6,22171.7,0.0,951867.7,
100,0.297,9271.4,12357.8,17797.5,21088.2,13370.3,16774.6,18123.2,17876.8,20675.7,32032.3,22409.6,45744.3,44755.3,13533.7,49675.2,43919.7,50396.1,23875.4,26772.7,0.0,851508.1,
101,0.312,14159.9,14755.1,20935.2,18692.9,18525.8,21598.6,22099.1,16411.0,27943.1,29322.2,11985.6,41823.5,47697.8,11813.6,35120.7,24868.9,41199.4,29281.8,22889.5,0.0,1103014.5,
102,0.176,6724.9,7078.3,8383.7,11866.8,7210.2,8285.5,9483.1,7350.2,12370.9,20685.0,6211.6,17527.9,20713.9,6533.6,59244.7,10735.4,20603.4,12602.6,18305.9,0.0,807339.9,
