Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,0.382,13161.8,18568.2,21055.2,21120.1,15718.9,17281.6,17783.8,14743.0,17074.7,25102.4,13653.1,19420.2,18472.5,11655.0,15862.7,16202.5,24631.8,16122.5,18802.2,0.0,119612024.2,
2,0.733,15440.9,17059.8,18978.1,15900.2,15038.0,17292.3,17088.9,16037.4,14784.3,16724.2,12467.0,13683.1,11809.8,12899.4,13556.0,14033.8,13579.5,13710.7,15758.6,0.0,100654270.1,
3,0.487,13872.9,18625.8,21215.7,21116.0,18340.0,20252.7,21418.3,18503.3,21127.2,17780.1,18171.9,28207.1,20106.5,12120.0,21346.7,22511.7,25134.3,20924.4,20717.2,0.0,89773441.1,
4,0.334,17985.5,19467.9,27381.4,29210.0,22127.3,24214.3,26426.0,19998.4,28382.5,32097.8,28202.8,28853.1,29645.6,21134.1,23685.2,25737.0,33703.9,29244.3,33628.2,0.0,67524506.8,
5,0.291,11518.7,14411.9,16540.2,13879.2,13869.8,16809.7,17008.8,12578.7,15686.4,21418.3,18065.5,11916.8,14661.5,15574.4,9626.9,11162.4,18645.9,17268.5,18261.8,0.0,66664294.4,
6,0.368,9190.0,20908.4,18378.2,14545.2,11107.0,12620.6,13385.8,8712.9,12269.8,15704.8,10188.8,20335.4,16039.6,10742.0,8854.7,12294.0,26614.1,18457.1,19557.5,0.0,187390720.2,
7,0.586,6873.1,5076.4,4165.0,4711.2,5392.6,5198.6,3781.3,7882.9,4812.3,4054.0,11467.9,7085.9,3566.7,8494.3,7888.8,9907.2,9211.3,3422.2,4879.8,0.0,123732535.8,
8,0.755,10145.5,12100.7,11125.3,12627.4,12960.5,14842.9,15052.9,9459.3,17076.3,18040.9,10436.7,16377.5,16332.4,10459.9,8594.9,6993.8,17559.2,19242.0,15637.5,0.0,535459190.1,
9,0.892,11723.1,15849.9,22657.3,22347.7,14624.5,15993.7,17481.9,13247.6,15526.4,15560.5,19833.8,18119.6,17733.1,14009.2,13984.1,30823.2,24529.7,16459.1,15896.4,0.0,248687430.0,
10,2.589,8255.1,46934.8,71622.6,25232.4,13287.7,18036.8,23209.6,6985.6,8973.4,10985.7,10475.0,13082.6,11463.9,7266.7,7547.8,13930.8,20325.2,13614.6,16589.5,0.0,306312947.5,
11,2.465,22292.2,17296.6,25324.8,30147.0,21056.1,20099.4,20736.9,37060.1,22064.3,31595.0,27778.1,30331.3,31510.4,21596.4,23720.1,37767.9,39321.6,28734.2,32560.8,0.0,549560034.1,
12,0.575,15530.3,20167.5,18512.3,17696.3,21049.5,18680.5,24625.1,19230.3,23225.9,21010.1,13119.5,22687.4,24194.1,14353.1,18205.3,15795.4,21922.4,24655.9,19716.6,0.0,431130900.1,
13,0.446,18251.5,20071.8,21802.6,20644.5,21310.1,21588.7,24006.9,19962.5,25330.2,22906.1,15487.5,22423.9,18951.2,17157.1,18340.5,24324.7,26678.6,22392.6,22153.8,0.0,1160985814.7,
