Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,19.89,17242.8,20113.5,20430.4,21010.4,14850.8,17791.8,18008.1,14412.4,16183.1,28073.0,20712.2,19912.2,22354.1,19058.7,16254.8,19634.1,22727.9,21933.9,27475.3,0.0,54211423.7,
2,20.138,11779.4,18323.7,20780.4,13236.5,12107.2,15527.3,13744.7,8974.0,13242.9,17036.8,9197.5,10937.5,11608.5,9069.1,6710.3,9275.6,15291.7,14988.3,14139.2,0.0,116310035.4,
3,10.708,22554.8,28155.1,23067.0,30099.9,23581.8,25084.4,25444.2,23014.5,25736.7,33679.2,17795.9,27194.5,34867.0,18743.2,21234.7,24833.5,33954.4,33102.6,41954.7,0.0,246946331.7,
4,6.672,19534.0,80573.7,141019.7,76832.2,25323.9,45377.6,55431.6,17489.0,52101.6,38550.1,36548.5,24810.7,29983.8,26212.4,20602.5,37756.6,26403.2,32057.6,51052.7,0.0,172302563.0,
5,8.029,17916.2,29366.4,37486.0,41106.2,22250.8,33650.2,33095.7,24928.6,63733.5,18073.6,14466.3,29790.2,22389.1,12773.1,22728.7,16320.4,23750.1,33905.8,32216.9,0.0,198933568.5,
6,24.398,17008.9,28725.7,34396.4,26964.3,18671.9,18783.8,19313.4,13971.3,44004.4,18017.0,11984.7,22284.5,20414.3,11142.7,9753.0,15274.3,24515.7,29776.0,22667.3,0.0,560958361.0,
7,8.525,13539.1,31509.3,55716.8,53193.0,25577.7,36725.8,44330.7,21015.8,51839.4,32227.6,14215.8,39007.3,37023.3,11537.1,21826.8,27790.4,43072.5,47387.5,34498.2,0.0,90104632.3,
8,8.232,45309.6,68835.2,68182.9,957601.6,50319.4,58096.6,59954.1,37603.0,58809.3,54388.3,31748.7,44135.1,52334.9,33482.2,40685.5,39608.0,45214.1,66744.1,63463.1,0.0,243842665.7,
9,49.581,21147.0,21099.6,19157.6,18075.3,18857.3,16874.6,15478.0,19222.2,24519.6,14000.9,13441.5,13786.4,14061.0,20663.9,15985.6,12744.9,14308.4,20824.1,19112.5,0.0,212826360.0,
10,51.696,20468.5,65194.7,58301.2,25921.4,24089.4,34302.4,32038.3,15442.6,46487.7,19281.2,13362.6,22589.4,19350.5,19533.5,14104.8,16285.1,17546.3,21638.0,22953.7,0.0,526228927.9,
11,48.491,12762.0,44673.2,33351.3,12090.9,18757.0,20852.1,18638.0,17176.9,26474.8,13655.5,10294.1,18275.9,13266.1,12098.9,15241.4,17603.8,15165.3,11347.5,11059.1,0.0,367330000.7,
12,1.456,12660.4,18264.9,17094.7,9040.6,12517.8,15324.1,15520.3,10722.0,70259.6,9142.3,11993.5,14412.5,11369.1,11584.4,7866.1,11892.0,9646.0,10888.5,8477.8,0.0,397508621.2,
13,0.959,17015.4,18761.6,22048.9,22745.7,18983.1,20952.8,22146.0,19484.3,32858.7,22449.7,11145.3,24378.5,22828.1,13558.7,17761.8,15839.4,21429.3,21806.0,26569.2,0.0,68341370.4,
14,1.088,7400.5,8281.4,7787.9,7497.5,6876.1,6202.9,5400.6,9403.2,38851.8,12658.8,6706.3,15180.9,11967.3,7012.5,8821.9,10051.2,22238.1,11326.1,10156.9,0.0,34993641.4,
15,1.257,5119.2,7596.7,12573.6,17256.5,8251.7,11130.2,13905.2,9628.5,22324.7,17160.8,8492.5,13562.1,13442.4,7410.6,8433.4,7940.0,14909.2,14086.8,23836.4,0.0,5590875.7,
16,1.137,7555.2,8732.5,8329.3,9712.7,8265.7,8306.4,8530.5,6654.1,22142.8,11751.3,5727.6,11133.1,9325.5,8674.1,7120.4,8396.0,17132.4,7661.3,9259.4,0.0,3299485.5,
