Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,1.079,17621.7,19955.2,25268.7,28407.8,21523.5,25240.7,26510.8,17152.8,23088.9,14558.7,11432.5,20472.8,20405.5,13854.9,18035.9,17076.0,22171.5,22575.1,20624.0,0.0,7881956.5,
2,0.708,11211.9,15324.1,16309.7,14997.7,15334.9,19721.9,18896.3,12768.7,17809.5,15801.5,12925.8,16404.6,17858.1,11042.7,16818.7,14273.3,17690.5,18170.8,19204.4,0.0,9037729.2,
3,0.537,9871.0,9190.3,8309.7,11650.8,8183.3,7839.9,8331.0,10987.9,13135.8,20674.8,14767.8,19705.7,21037.9,10768.3,15938.9,22549.6,26789.1,13292.8,14601.6,0.0,8590229.9,
4,0.712,26793.2,26285.7,27935.0,32105.1,28488.7,28479.3,29313.9,29275.8,33023.3,40611.2,25603.3,46031.7,42408.1,26553.7,63341.4,36976.1,27420.6,35702.1,42754.4,0.0,6515481.9,
5,0.784,13155.2,17369.8,20544.5,19760.9,16799.7,22940.0,21065.2,16138.0,26113.7,20378.5,9926.2,25830.2,25482.8,9329.1,17800.8,19439.1,27389.0,23235.9,22458.2,0.0,57174913.2,
6,0.796,8835.0,6855.9,7747.5,7491.7,8868.8,8671.3,9365.7,10577.1,10069.8,13840.9,16710.4,15295.2,12779.7,12734.1,22678.0,18536.8,20499.2,8973.9,10296.1,0.0,207815235.0,
7,0.899,26260.8,28086.5,27044.2,27216.2,162339.9,31513.8,28528.8,26546.6,32537.4,25984.4,22041.4,28419.4,27500.8,24422.6,28004.2,22748.7,31290.1,26282.0,22247.3,0.0,1595505433.5,
8,1.009,9762.1,9730.6,12648.1,11083.9,10232.0,10051.5,10037.2,9140.6,11532.2,11966.0,11727.6,25591.4,19504.8,9471.8,15289.9,18625.0,24951.8,13816.5,21174.4,0.0,508237178.1,
9,0.994,43142.5,54502.6,56181.9,50852.4,43293.8,44781.3,55975.2,38442.3,35382.4,53536.6,35030.3,42677.0,42463.2,26982.9,60040.4,52308.6,51865.9,45599.8,54083.4,0.0,20220034190.9,
10,1.963,11048.5,18691.3,20786.9,26955.5,41178.9,17134.1,18344.1,20331.8,49205.8,21626.0,6410.3,15394.7,19772.8,10235.6,79537.5,11372.0,15991.4,22010.2,31238.7,0.0,55875623345.4,
11,1.598,15966.0,29744.9,38458.8,59997.6,70688.4,37848.8,30894.0,17879.6,70031.0,36188.1,12829.5,26623.0,32746.3,15594.1,87885.8,8067.5,28384.2,43074.9,44010.6,0.0,665792621434.5,
12,0.551,21790.7,22402.9,24400.2,27686.6,24668.6,25186.0,23051.1,22083.5,32193.9,24375.2,23096.8,25889.1,25831.7,23443.7,37948.8,24662.0,25690.2,25466.6,20985.8,0.0,19559128418.8,
13,1.979,25938.3,109483.4,188431.5,101796.1,38842.8,61455.8,75254.1,24616.8,27935.2,29114.7,17170.5,25931.0,28033.2,18255.0,27055.0,27610.9,27186.0,46185.9,41432.7,0.0,24098644645.8,
14,0.385,7349.8,8906.8,10432.7,12440.2,11468.7,12032.7,11337.8,8513.7,12830.4,13509.3,8255.1,12903.3,12377.5,7453.1,12008.4,7667.2,10943.3,14250.7,13542.6,0.0,7186856371.4,
15,0.415,15656.9,17333.6,20654.0,17879.8,22253.9,21116.2,24134.1,22539.1,23308.0,13963.1,12338.1,26221.7,19061.8,12414.6,15460.1,15668.2,22139.6,20057.8,11721.0,0.0,4655085424.9,
16,5.58,34418.4,253939.8,347614.5,136953.4,59179.5,92860.5,106113.4,33028.8,37910.1,22676.2,13777.5,25197.9,25762.1,21319.2,21635.2,15895.3,17014.8,56398.6,40462.8,0.0,792621154.8,
17,0.27,9540.0,9304.9,11014.5,12260.8,11275.3,11178.2,12283.4,14052.3,16205.9,14579.6,12231.2,21199.7,15647.5,10006.4,17099.3,16470.9,20044.7,13586.5,12714.1,0.0,712443437.6,
18,0.565,19289.0,23202.1,25913.7,26893.6,23870.0,25871.0,29989.3,21113.6,27783.1,22101.8,8570.8,24186.0,25968.5,16363.3,16393.0,14756.6,19722.8,28541.5,27684.3,0.0,31654310.8,
19,1.328,11260.8,34072.5,29109.1,8776.0,13488.2,16602.6,14077.4,9295.2,14714.5,13633.7,8557.0,17799.1,15865.3,7615.6,17302.2,13267.1,15581.9,13112.8,18393.9,0.0,8335992.2,
20,0.987,16918.1,19892.7,23312.1,22771.9,18425.6,19669.8,21370.9,16501.6,23621.3,28368.6,19365.1,24753.3,26774.9,12698.6,87161.3,23634.1,26215.6,20226.4,22866.4,0.0,38530246923.8,
21,5.314,8904.2,10282.0,10608.4,15395.9,17495.0,13734.6,16032.6,21984.6,15631.8,15209.8,8241.7,13298.8,15000.1,10681.1,16689.5,9312.9,12645.5,17685.2,20804.3,0.0,595948392.8,
22,3.848,12900.3,13845.2,13902.0,15568.2,18951.9,16238.1,19213.3,19551.9,21593.6,21635.9,14647.9,21123.0,23009.2,14088.6,66092.1,18351.8,22793.9,24117.0,23533.8,0.0,1491049412.8,
