Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,1.973,13091.6,18246.9,24290.8,24342.7,16280.6,21009.5,23236.5,15886.8,27374.1,27256.2,15128.9,23491.7,21698.4,11012.8,17048.3,26918.9,18786.1,20666.9,25180.0,0.0,4837130.5,
2,1.806,17168.4,20238.5,31050.1,33265.6,17799.9,26335.4,29276.4,19230.2,25231.5,41112.1,9793.9,24496.5,33216.9,16018.5,18683.7,19240.1,36965.9,33410.8,34313.9,0.0,52710.1,
3,2.765,18634.5,36768.3,38617.3,23000.9,31356.8,37600.0,32836.0,21976.4,32506.4,16152.0,12205.7,25685.1,23057.7,14317.2,18474.3,15161.5,18460.2,23431.5,17224.2,0.0,6383474.8,
4,2.821,37778.0,45544.3,44006.1,39003.3,45207.3,42074.7,41864.8,48392.7,44729.6,48813.9,26178.2,52297.9,45821.3,25515.1,43892.2,43242.4,50963.5,41627.3,42477.7,0.0,61625246.5,
5,1.478,42601.7,52820.0,63453.5,76601.6,53972.2,63503.8,67311.2,50372.7,64967.1,99509.7,16569.4,53883.4,78848.9,24630.4,39044.8,41632.5,83501.2,80632.0,94046.8,0.0,594356685.4,
6,2.015,34265.4,57329.5,72104.3,81335.7,42420.9,56760.7,59096.1,46100.3,50321.8,56967.3,13671.3,70049.6,61760.8,16605.5,37962.9,42411.8,60088.4,57856.1,60918.8,0.0,29047092511.4,
7,10.131,119817.7,219357.9,217190.4,140747.1,119367.0,132053.5,129518.5,87915.5,139491.5,160756.3,70102.4,136208.6,136876.5,48425.8,98949.9,134487.7,171059.1,128506.9,152445.3,0.0,6178951937.2,
8,16.492,56551.0,52672.2,98266.6,65173.0,46495.0,58400.4,53062.0,40197.2,65990.6,55618.3,543609.4,56021.4,55663.4,21651.8,35732.8,56087.0,63474.5,56553.8,57263.3,0.0,708374352.5,
9,4.436,52417.3,89271.2,176846.5,88586.3,52902.8,73952.9,79282.8,43323.2,58690.1,68918.8,58135.9,70383.5,63019.5,34675.6,58208.9,78394.1,68384.3,69523.4,67153.8,0.0,2587538691.5,
10,11.492,43642.7,180828.7,203414.6,48725.2,47516.0,59165.2,58022.8,110775.4,33289.5,27733.0,21478.4,40951.9,27963.8,26829.1,26811.2,35881.5,32434.4,23726.3,18106.1,0.0,608626787.4,
11,9.698,11343.6,196745.4,290197.8,75775.3,38252.7,70584.0,74005.4,13723.7,26199.3,32687.9,19711.7,20428.1,23542.1,18369.1,16249.3,27502.5,26221.9,31869.2,30966.3,0.0,77520592.5,
12,13.321,49367.3,466431.9,418653.6,61769.7,103469.6,124480.1,100465.9,22068.9,35231.8,28709.8,16484.3,21923.2,27272.9,15665.8,22523.9,27936.1,24345.7,36535.6,32739.6,0.0,428454016.6,
13,4.98,15763.3,46179.8,43010.7,22920.3,19566.1,20566.6,20469.7,23628.5,22712.4,13385.1,15874.0,24771.0,17836.7,15456.7,21654.4,15199.7,14278.2,18305.6,14397.3,0.0,762813346.0,
14,1.24,20815.4,23859.8,24065.5,28006.8,23392.1,25958.9,27856.6,23921.7,25303.3,21120.3,21209.6,23797.7,23692.8,21052.6,24692.8,24979.5,22746.1,26347.2,32774.4,0.0,79113556.5,
15,1.54,12139.3,18300.0,19861.3,18443.0,17355.3,20949.2,23847.5,31538.4,25781.2,25898.0,15824.4,25429.3,25338.8,14472.9,18512.4,22703.7,27849.4,23141.9,29535.8,0.0,5039443.2,
16,1.376,3849.3,6554.7,12591.2,19643.8,4357.1,7656.9,10900.6,4521.9,11283.9,26744.2,7582.5,12586.4,17491.0,6997.0,8420.3,11758.4,21571.7,17617.9,35806.1,0.0,532885379.7,
17,9.593,74607.5,111759.2,75836.5,53747.8,67913.3,61026.2,58650.0,48121.7,66771.6,77267.2,28468.4,72426.6,66645.7,28643.2,51128.9,57090.4,78466.8,59413.1,56401.8,0.0,174380784.3,
18,4.248,32963.7,34377.2,50474.9,52221.0,35079.1,41214.2,44448.4,37236.9,51179.9,47356.7,26670.9,51566.7,49556.6,20271.0,39309.2,44542.2,51901.8,50315.6,48942.1,0.0,165384542.5,
19,5.68,68708.3,57390.7,68837.4,88414.2,47976.8,56932.1,64817.9,54779.9,61869.2,81020.1,35964.6,84258.7,71252.2,25685.0,57822.1,78721.0,86883.5,73095.2,84445.8,0.0,500479716.7,
20,9.133,177556.7,181399.8,176629.6,201705.2,157595.5,177930.1,179737.1,127923.8,176820.1,207821.3,81931.6,182361.7,191364.3,86550.2,136556.3,175137.2,221343.1,190937.5,205801.8,0.0,124443049.5,
21,2.649,12094.0,56915.1,74212.4,35197.6,30526.7,38620.4,37249.4,32914.7,37793.5,42624.5,31141.1,35099.1,182481.9,16954.6,28275.8,42473.0,46163.6,37798.3,33095.3,0.0,46056260.8,
22,0.458,17729.3,17911.6,54697.8,952037.7,18968.3,21970.9,25848.6,22410.0,21383.8,40001.7,18837.9,29190.8,170888.9,13835.9,23583.4,26092.7,32154.6,29193.5,46886.5,0.0,717964271.9,
23,1.13,10822.4,19629.8,24255.2,31885.6,18398.0,24628.2,26521.0,16856.8,25313.2,30410.8,16691.8,21213.1,26484.2,8217.3,17758.6,17105.9,30282.2,25573.2,26120.9,0.0,2391047415.9,
24,1.843,34622.1,108955.2,161020.4,77773.1,49902.3,63925.5,71908.5,39229.8,48095.8,49788.5,23719.3,75392.1,60376.0,23394.9,38828.7,49532.2,60802.4,52112.6,45911.7,0.0,4101671020.6,
25,4.855,17867.6,18011.0,27922.4,32977.4,17207.7,23306.7,25741.0,17822.3,25130.1,29705.2,10787.5,22727.5,27605.9,17995.3,16378.5,13030.3,28405.7,25210.5,32078.4,0.0,6764700678.6,
26,3.001,73151.8,15818.5,18623.8,24525.2,19155.9,16585.2,15353.7,26836.7,19113.5,13804.8,20848.6,20863.7,16359.1,24862.7,24324.0,32283.1,24390.8,17481.0,12440.6,0.0,621097807.1,
27,1.063,12015.6,12037.7,14114.7,10315.2,16068.6,14473.1,13297.0,17170.5,16576.5,17218.7,16672.8,26119.9,19023.8,14282.9,21504.9,25701.0,30663.1,13174.7,12120.2,0.0,299172707.0,
28,1.614,22676.9,22796.4,8894.4,20117.6,11679.5,9158.9,9174.7,8574.8,7770.3,11762.5,3746.0,7141.5,6952.6,6662.8,4648.7,8218.5,12327.8,10818.4,15863.9,0.0,2097705546.5,
29,0.819,7765.8,50405.5,63653.0,10452.0,11625.4,12112.2,16747.3,19387.6,19408.3,16794.5,8679.6,17314.8,15998.6,7849.0,14004.2,16592.3,21410.4,22200.5,12529.1,0.0,1611623818.5,
30,1.386,13961.0,25683.7,65348.7,63764.8,12795.5,21229.6,36234.4,6324.8,14472.4,23026.5,6691.0,15247.3,16329.7,15985.3,7265.2,13138.5,17686.9,24782.0,38771.7,0.0,177393901.0,
31,0.48,10637.0,11409.1,23776.9,25577.8,13410.9,18074.4,19006.0,11001.4,18372.9,28083.6,8589.1,20523.3,23613.8,7498.3,11015.6,12745.4,18430.9,22734.8,34712.0,0.0,44720742.0,
32,1.652,11007.1,19649.4,56870.9,62725.2,13705.9,21318.0,30007.2,11425.8,14008.6,32633.5,12203.8,19052.3,15910.2,12494.9,15149.0,18082.7,20702.7,19412.5,36335.8,0.0,20003171.5,
33,0.391,16472.5,16766.2,18430.5,14887.3,16260.2,18317.1,23249.9,16194.9,20109.8,16700.3,12315.0,19084.8,20052.6,14385.7,14316.9,13528.5,18576.3,34935.0,21818.0,0.0,33007939.2,
34,0.903,8573.6,26341.9,23133.6,8935.3,10764.7,12772.9,11972.0,6484.5,11424.9,5315.5,6582.3,8509.1,6431.0,6014.8,6754.8,8062.5,6251.9,12132.0,7050.6,0.0,1695508086.3,
