Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
1,3.07,97790.0,62246.9,38756.6,193527.1,48106.7,50162.3,46690.3,36549.1,40668.1,30183.4,20083.4,55792.2,39377.9,18983.6,32501.8,37583.8,39055.9,37884.2,30020.9,0.0,27064.3,
2,4.459,38153.1,41920.8,48879.8,264763.7,40153.6,48066.0,45551.7,43833.5,39149.3,44660.4,52170.4,41217.8,48214.1,125821.6,48621.3,34598.7,32310.7,222751.8,58486.9,0.0,58506.6,
3,1.4,18458.2,27643.5,28391.0,22207.5,28333.9,29301.1,22874.2,19605.8,28759.7,25057.1,18954.8,30930.6,28923.1,12067.8,30580.5,30185.7,34593.2,36881.4,22717.3,0.0,76431.7,
4,4.285,15320.5,22380.9,31111.0,42397.7,25390.2,25850.8,35545.1,35560.0,35880.5,57889.6,12059.9,33632.1,37549.9,25831.6,25781.6,41089.0,38835.2,45218.6,47210.3,0.0,268770.4,
5,150.442,83482.9,545101.5,632774.3,2556861.1,122416.3,133176.9,422205.8,119861.5,48911.0,106730.6,67939.9,37356.6,56223.6,23886.6,41666.4,22884.6,64845.0,592563.2,117010.5,0.0,51335039.5,
6,22.415,71643.9,93753.0,147484.5,528834.5,78883.0,81250.0,66989.8,183416.9,60350.0,262157.5,154150.8,274646.3,78557.7,286167.4,62210.1,52191.4,65344.5,167567.2,123166.1,0.0,86721025.6,
7,21.416,118031.1,205089.6,150569.7,115322.9,131545.1,120339.9,97631.2,104674.5,104379.2,139299.6,202365.0,95564.7,92594.1,93139.1,79002.1,105876.9,90846.9,110903.9,111114.1,0.0,41284041.7,
8,27.787,285032.8,276772.2,302995.4,386577.3,277404.3,254078.5,268060.7,276843.9,290696.2,230803.2,303257.2,294986.3,233599.4,319394.5,277401.5,282838.2,253563.5,276870.5,305009.4,0.0,3705582457.0,
9,74.295,306177.6,1054644.1,412111.0,556452.7,225822.5,259242.3,265689.5,195944.1,167104.5,167306.7,192491.0,222134.9,177974.7,209273.1,163691.9,174399.6,171678.8,217459.0,227765.5,0.0,4901781644.8,
10,13.986,13502.6,10850.7,17818.8,616264.0,41719.0,19889.0,23451.6,47866.3,26923.4,17834.2,26472.8,20850.3,15600.4,305466.8,24230.1,19828.8,19459.2,34400.7,32392.3,0.0,4871890.6,
